Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
A01X001860H9	13203234	66339	13009167	194067
A01X009561B6	11005164	79069	10767393	237771
A01X010861D9	10735761	56244	10558253	177508
A01X011261C2	13005976	112260	12759529	246447
A01X012861D4	14137127	201773	13816043	321084
A01X015461D8	12668765	23794	12552903	115862
A01X017260I8	15726807	62792	15452256	274551
A01X019460I6	13604487	125755	13246988	357499
A01X019560H7	13256151	248283	12908192	347959
A01X020460H5	12750855	140986	12132958	617897
A01X020961D2	12455846	130082	12226587	229259
A01X023460I4	12655023	104928	12391459	263564
A01X024861A3	14107911	104565	13825429	282482
A01X026160H3	8491122	107052	8288810	202312
A01X028561A9	16446641	169785	16090287	356354
A01X030061B4	8267667	54930	8113486	154181
A01X034361C6	13907073	36708	13786094	120979
A01X034861B1	14595815	123878	14346386	249429
A01X035361A8	15724476	138521	15415572	308904
A01X036261D5	10901325	62726	10655023	246302
A01X036761C4	13326493	103601	13074520	251973
A01X041461C8	12013048	124901	11743600	269448
A01X042261A5	12921866	101934	12715962	205904
A01X043060I2	15571895	126470	15316862	255033
A01X043261B8	9537240	85563	9374680	162560
A02X001860I1	13568391	58686	13373921	194470
A02X009561B7	11168944	127525	10735906	433038
A02X010861C1	15159960	81343	14919008	240952
A02X011261C3	6505005	50425	6362116	142889
A02X012861A7	10193445	312128	9766363	427082
A02X013460I7	14128391	80744	13888014	240377
A02X015461B3	12737360	25590	12615305	122055
A02X017260I9	12911002	51618	12698196	212806
A02X019461D1	13116082	58412	12714105	401977
A02X020460H6	14351221	202991	13989069	362152
A02X020961D3	14947157	145220	14691318	255839
A02X023460I5	11190139	111472	10936271	253868
A02X024861A4	11108452	76321	10849555	258897
A02X026160H4	15054029	192838	14709721	344308
A02X028561D7	14271118	133799	13994782	276336
A02X030061B5	14932305	117882	14683372	248933
A02X030661A1	11935685	112853	11679472	256213
A02X033761A2	12575533	147313	12313683	261850
A02X034361C7	11743291	35194	11617095	126196
A02X034861B2	13800277	101333	13588590	211687
A02X036261D6	12575439	65110	12258110	317329
A02X036761C5	13164382	51765	13000112	164270
A02X041461C9	13825332	145908	13498892	326440
A02X042261A6	14435182	74719	14234730	200452
A02X043060I3	15841316	126297	15577794	263522
A02X043261B9	15148419	402944	14621665	526754
A03X00181C05	12048976	65816	11802095	246881
A03X00951D03	12563613	75170	12349771	213842
A03X01081D02	14017505	72022	13797966	219539
A03X01121D01	13482227	96664	13249861	232366
A03X01281C09	13957250	485168	13319051	638199
A03X01341C08	15237398	58701	15070919	166479
A03X01541C07	12700948	45709	12480906	220042
A03X01721B05	12927136	50281	12692809	234327
A03X01791B04	14547126	71769	14328901	218225
A03X01941A02	15683356	104701	15381750	301606
A03X01951A01	12751531	208709	12432218	319313
A03X02041B02	12468893	167893	12163098	305795
A03X02091B01	11192209	86835	11022190	170019
A03X02341A08	15222298	108583	14967089	255209
A03X02481C06	14438003	187726	14093665	344338
A03X02611C04	13582354	318622	13120552	461802
A03X02851B03	12692584	42140	12563915	128669
A03X03001C03	11145021	56014	10978015	167006
A03X03061C02	12445998	85762	12215667	230331
A03X03371C01	11461781	137267	11203659	258122
A03X03431B09	12754613	63698	12587369	167244
A03X03481B07	14111214	172716	13806869	304345
A03X03531B06	15133992	92149	14851684	282308
A03X03621A06	12702632	55169	12432224	270408
A03X03671A05	13497532	62368	13256948	240584
A03X04141A07	12413610	144280	12120338	293272
A03X04221A09	9538851	80903	9349174	189677
A03X04301B08	14924240	119570	14692109	232131
A03X04321A03	13940002	338210	13492640	447362
AMBX00181E02	14202873	63654	13993103	209770
AMBX01121F02	18382781	99282	18155875	226906
AMBX01281F01	17121436	453457	16515626	605810
AMBX01341D04	10818376	45883	10670730	147646
AMBX01721E09	11641869	53897	11433204	208665
AMBX01941E08	14217516	76045	13984903	232613
AMBX01951E07	14979921	291109	14567811	412110
AMBX02041E06	15319048	60842	15134468	184580
AMBX02091E05	15002546	105308	14779008	223538
AMBX02341E04	14101772	105850	13823297	278475
AMBX02481E01	12362847	78311	12195803	167044
AMBX03431D09	12339350	62375	12171745	167605
AMBX03481D08	15816517	58495	15615741	200776
AMBX03532H07	13568582	132259	13252654	315928
AMBX03621D07	12586090	67539	12243492	342598
AMBX04141D06	14966476	142712	14607136	359340
AMBX04301D05	11781008	55486	11602306	178702
AP3X00181I06	13236916	58753	13011189	225727
AP3X01342A05	10899842	69726	10720414	179428
AP3X01542A06	10712132	27901	10608456	103676
AP3X01722A07	10442723	44285	10315639	127084
AP3X01792A08	11118941	46325	10928973	189968
AP3X01942A09	10004363	70246	9756723	247640
AP3X01952B01	11303790	138557	11041875	261915
AP3X02042B02	13536405	79670	13313704	222701
AP3X02092B03	11636908	41088	11502088	134820
AP3X02482B04	14510307	269460	14113862	396445
AP3X02611I05	8586676	146240	8327097	259579
AP3X02851I07	11155479	75519	10961144	194335
AP3X03061I08	15205007	143518	14890373	314634
AP3X03371I09	13345078	103447	13150819	194259
AP3X03432A01	12746062	84497	12512210	233852
AP3X03482A02	12599816	138254	12224481	375335
AP3X03532A03	10728550	104430	10525646	202904
AP3X03672A04	13007327	190179	12573288	434039
AP3X03911I04	9288837	22940	9133445	155392
AP3X04221F03	13121182	71644	12933561	187621
AP7X00181H07	12804797	72825	12552880	251917
AP7X00951I03	12252840	66098	12060108	192732
AP7X01081I02	8885785	71072	8709043	176742
AP7X01121H05	10539030	50223	10362519	176511
AP7X01281H03	12924667	213368	12608180	316487
AP7X01341H06	12713152	72859	12472852	240300
AP7X01541H02	11621083	14948	11502681	118402
AP7X01721H08	12933863	56332	12768644	165219
AP7X01951G07	9312535	102951	9104719	207816
AP7X02041G08	10016387	35638	9889965	126422
AP7X02091I01	10724021	129821	10482163	241858
AP7X02341H09	13776633	108249	13495822	280811
AP7X02611G09	12584758	139627	12359846	224912
AP7X02851H01	10944404	142687	10680871	263533
AP7X03001G05	12509795	135001	12255015	254780
AP7X03061G06	15772601	171318	15472361	300240
AP7X03371G04	8818223	30016	8718251	99972
AP7X03431F04	11791834	44460	11648920	142914
AP7X03481G03	9215899	75642	9051927	163972
AP7X03531G02	11460656	100517	11188336	272320
AP7X03621F05	11836201	68405	11448328	387873
AP7X03671F06	12707151	152142	12284123	423028
AP7X03911F07	11809053	36102	11650619	158434
AP7X04141F08	11927462	122269	11630551	296911
AP7X04221F09	15865170	84850	15662339	202831
AP7X04301G01	12632151	60631	12429462	202689
AP7X04321H04	9887543	166364	9648134	239409
C01X00183B04	13613909	174458	13411359	202550
C01X00952I08	11538858	76972	11373454	165404
C01X01083A06	11697257	97567	11575003	122254
C01X01123C01	13189584	83454	13045139	144445
C01X01283A04	10490147	9792	10447003	43144
C01X01542I09	12373491	36075	12195302	178189
C01X01723A08	10467238	88654	10288625	178613
C01X01943A03	4352779	35390	4285954	66825
C01X01953A05	9822232	132061	9631813	190419
C01X02043A01	12915886	118836	12626470	289416
C01X02093C02	16050745	173767	15785620	265125
C01X02343C03	14650442	198165	14314321	336121
C01X02483B06	12907784	149190	12649480	258304
C01X02613B05	16894502	140518	16564337	330165
