run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title	bam_ftp
ERR688358	SAMEA3136748	ERX633359	PRJEB7774	408170	human gut metagenome	785424	70936787	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688358/ERR688358.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688358/31004_SZAXPI021650-108.clean.single.rmhost.fq.gz	67760870	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688358	31004	Stool sample from carcinoma	
ERR688359	SAMEA3136648	ERX633360	PRJEB7774	408170	human gut metagenome	1158189	103709762	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688359/ERR688359.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688359/31009_SZAXPI022053-133.clean.single.rmhost.fq.gz	100771352	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688359	31009	Stool sample from controls	
ERR688360	SAMEA3136638	ERX633361	PRJEB7774	408170	human gut metagenome	1110550	97120739	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688360/ERR688360.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688360/31021_SZAXPI022043-90.clean.single.rmhost.fq.gz	94871031	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688360	31021	Stool sample from controls	
ERR688362	SAMEA3136670	ERX633363	PRJEB7774	408170	human gut metagenome	918792	81685706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688362/ERR688362.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688362/31071_SZAXPI022073-62.clean.single.rmhost.fq.gz	79487914	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688362	31071	Stool sample from controls	
ERR688367	SAMEA3136630	ERX633368	PRJEB7774	408170	human gut metagenome	841486	73083016	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688367/ERR688367.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688367/31160_SZAXPI021961-43.clean.single.rmhost.fq.gz	71011577	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688367	31160	Stool sample from controls	
ERR688369	SAMEA3136634	ERX633370	PRJEB7774	408170	human gut metagenome	645164	56604840	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688369/ERR688369.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688369/31219_SZAXPI021965-84.clean.single.rmhost.fq.gz	55287568	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688369	31219	Stool sample from controls	
ERR688370	SAMEA3136738	ERX633371	PRJEB7774	408170	human gut metagenome	986297	85988990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688370/ERR688370.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688370/31223_SZAXPI021638-43.clean.single.rmhost.fq.gz	83606493	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688370	31223	Stool sample from carcinoma	
ERR688383	SAMEA3136673	ERX633384	PRJEB7774	408170	human gut metagenome	1003849	88173346	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688383/ERR688383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688383/31333_SZAXPI022075-88.clean.single.rmhost.fq.gz	85542311	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688383	31333	Stool sample from controls	
ERR688384	SAMEA3136702	ERX633385	PRJEB7774	408170	human gut metagenome	578356	52489976	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688384/ERR688384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688384/31337_SZAXPI021672-108.clean.single.rmhost.fq.gz	50460929	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688384	31337	Stool sample from advanced adenoma	
ERR688386	SAMEA3136664	ERX633387	PRJEB7774	408170	human gut metagenome	845226	72062372	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688386/ERR688386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR688/ERR688386/31360_SZAXPI022068-36.clean.single.rmhost.fq.gz	70870610	ftp.sra.ebi.ac.uk/vol1/err/ERR688/ERR688386	31360	Stool sample from controls	
