run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title	bam_ftp
ERR1620255	SAMEA4431868	ERS1343317	ERX1690620	PRJEB15371	408170	human gut metagenome	24474122	2107016272;2116715844	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620255/ERR1620255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620255/ERR1620255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620255/SZAXPI029499-101.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620255/SZAXPI029499-101.rmhost.2.fq.gz	3672826640	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620255	SZAXPI029499-101	Stool sample from China	
ERR1620257	SAMEA4431870	ERS1343319	ERX1690622	PRJEB15371	408170	human gut metagenome	25248650	2158146068;2156280510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620257/ERR1620257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/007/ERR1620257/ERR1620257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620257/SZAXPI029501-104.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620257/SZAXPI029501-104.rmhost.2.fq.gz	3760517345	ftp.sra.ebi.ac.uk/vol1/err/ERR162/007/ERR1620257	SZAXPI029501-104	Stool sample from China	
ERR1620259	SAMEA4431872	ERS1343321	ERX1690624	PRJEB15371	408170	human gut metagenome	25001347	2169128406;2184131228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620259/ERR1620259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1620259/ERR1620259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620259/SZAXPI029503-106.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620259/SZAXPI029503-106.rmhost.2.fq.gz	3803666259	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1620259	SZAXPI029503-106	Stool sample from China	
ERR1620265	SAMEA4431878	ERS1343327	ERX1690630	PRJEB15371	408170	human gut metagenome	26846595	2296157159;2304278484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620265/ERR1620265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620265/ERR1620265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620265/SZAXPI029548-140.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620265/SZAXPI029548-140.rmhost.2.fq.gz	4009370737	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620265	SZAXPI029548-140	Stool sample from China	
ERR1620291	SAMEA4431904	ERS1343353	ERX1690656	PRJEB15371	408170	human gut metagenome	26883143	2163545825;2237524796	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620291/ERR1620291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620291/ERR1620291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620291/SZAXPI029476-50.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620291/SZAXPI029476-50.rmhost.2.fq.gz	3842601007	ftp.sra.ebi.ac.uk/vol1/err/ERR162/001/ERR1620291	SZAXPI029476-50	Stool sample from China	
ERR1620293	SAMEA4431906	ERS1343355	ERX1690658	PRJEB15371	408170	human gut metagenome	29284831	2296480482;2371026342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/003/ERR1620293/ERR1620293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/003/ERR1620293/ERR1620293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620293/SZAXPI029482-77.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620293/SZAXPI029482-77.rmhost.2.fq.gz	4072928040	ftp.sra.ebi.ac.uk/vol1/err/ERR162/003/ERR1620293	SZAXPI029482-77	Stool sample from China	
ERR1620295	SAMEA4431908	ERS1343357	ERX1690660	PRJEB15371	408170	human gut metagenome	27667258	2175374459;2248216801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620295/ERR1620295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/005/ERR1620295/ERR1620295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620295/SZAXPI029484-80.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620295/SZAXPI029484-80.rmhost.2.fq.gz	3853430392	ftp.sra.ebi.ac.uk/vol1/err/ERR162/005/ERR1620295	SZAXPI029484-80	Stool sample from China	
ERR1620301	SAMEA4431914	ERS1343363	ERX1690666	PRJEB15371	408170	human gut metagenome	25994966	2078250044;2136766821	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620301/ERR1620301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/001/ERR1620301/ERR1620301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620301/SZAXPI029496-97.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620301/SZAXPI029496-97.rmhost.2.fq.gz	3659287967	ftp.sra.ebi.ac.uk/vol1/err/ERR162/001/ERR1620301	SZAXPI029496-97	Stool sample from China	
ERR1620302	SAMEA4431915	ERS1343364	ERX1690667	PRJEB15371	408170	human gut metagenome	29046997	2302180163;2363909048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620302/ERR1620302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/002/ERR1620302/ERR1620302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620302/SZAXPI029498-99.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620302/SZAXPI029498-99.rmhost.2.fq.gz	4067534309	ftp.sra.ebi.ac.uk/vol1/err/ERR162/002/ERR1620302	SZAXPI029498-99	Stool sample from China	
ERR1620306	SAMEA4431919	ERS1343368	ERX1690671	PRJEB15371	408170	human gut metagenome	25057494	2017980985;2071904963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620306/ERR1620306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/006/ERR1620306/ERR1620306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620306/RSZAXPI003063-104.rmhost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1620306/RSZAXPI003063-104.rmhost.2.fq.gz	3567369599	ftp.sra.ebi.ac.uk/vol1/err/ERR162/006/ERR1620306	RSZAXPI003063-104	Stool sample from China	
