run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	read_count	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title	bam_ftp
ERR1776107	SAMEA40150168	ERX1841100	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776107/S128_a_WGS.fasta.gz			S128_a_WGS	CICRA	
ERR1776109	SAMEA40157668	ERX1841102	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776109/S132_a_WGS.fasta.gz			S132_a_WGS	CICRA	
ERR1776110	SAMEA40161418	ERX1841103	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776110/S134_a_WGS.fasta.gz			S134_a_WGS	CICRA	
ERR1776119	SAMEA40196668	ERX1841112	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776119/S149_a_WGS.fasta.gz			S149_a_WGS	CICRA	
ERR1776129	SAMEA40219168	ERX1841122	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776129/S158_a_WGS.fasta.gz			S158_a_WGS	CICRA	
ERR1776134	SAMEA40228168	ERX1841127	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776134/S162_a_WGS.fasta.gz			S162_a_WGS	CICRA	
ERR1776137	SAMEA40236418	ERX1841130	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776137/S165_a_WGS.fasta.gz			S165_a_WGS	CICRA	
ERR1776143	SAMEA39879418	ERX1841136	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776143/S1_a_WGS.fasta.gz			S1_a_WGS	CICRA	
ERR1776145	SAMEA39934168	ERX1841138	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776145/S27_a_WGS.fasta.gz			S27_a_WGS	CICRA	
ERR1776104	SAMEA40104418	ERX1841097	PRJEB18780	1879010	Bacillota bacterium	0			ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776104/S104_a_WGS.fasta.gz			S104_a_WGS	CICRA	
ERR1776101	SAMEA39878668	ERX1841094	PRJEB18780	1879010	Bacillota bacterium	21085	2812231;3005535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776101/ERR1776101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR177/001/ERR1776101/ERR1776101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776101/S1_a_16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR177/ERR1776101/S1_a_16S_R2.fastq.gz	6814538	ftp.sra.ebi.ac.uk/vol1/err/ERR177/001/ERR1776101	S1_a_16S	CICRA	
