Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SRR8652796	2385001	127898	319124	2065877
SRR8652797	527589	53463	266980	260609
SRR8652798	2957911	53745	1905038	1052873
SRR8652799	891033	40368	554001	337032
SRR8652800	1001726	129594	66535	935191
SRR8652801	3221681	19484	2337255	884426
SRR8652802	2672887	33081	1994690	678197
SRR8652803	1171612	111472	638080	533532
SRR8652804	4644407	448	4612714	31693
SRR8652805	3581082	3380088	7476	3573606
SRR8652806	4816729	3761755	1010058	3806671
SRR8652807	5201953	4771080	351221	4850732
SRR8652808	3738614	3527899	162	3738452
SRR8652809	3465512	3148054	13112	3452400
SRR8652810	2927629	2307052	175882	2751747
SRR8652811	4450686	4449134	149	4450537
SRR8652812	3551535	5305	3527102	24433
SRR8652813	3110902	42921	2953435	157467
SRR8652814	3933288	650054	3107928	825360
SRR8652815	2677621	266298	2336484	341137
SRR8652816	3363844	577924	2719107	644737
SRR8652817	2663123	133341	2456012	207111
SRR8652818	3722568	35928	3592128	130440
SRR8652819	4977460	271283	4426857	550603
SRR8652820	2506209	240625	2116716	389493
SRR8652821	3373617	300991	2903280	470337
SRR8652822	3112189	748517	2317135	795054
SRR8652823	1883106	370632	1394023	489083
SRR8652824	1686076	227134	1220961	465115
SRR8652825	795104	246003	332187	462917
SRR8652826	1167410	576289	508660	658750
SRR8652827	1411010	365856	1000512	410498
SRR8652828	3178235	3103910	67023	3111212
SRR8652829	3823424	3599411	183373	3640051
SRR8652830	1624919	933832	186582	1438337
SRR8652831	3068916	3046602	17421	3051495
SRR8652832	592855	491892	94434	498421
SRR8652833	960944	208808	724975	235969
SRR8652839	3492796	30595	651577	2841219
SRR8652841	3432585	189409	3052784	379801
SRR8652842	2414196	152913	2200559	213637
SRR8652843	2546743	133502	2332372	214371
SRR8652844	1116500	74055	992881	123619
SRR8652845	2701706	137241	2529257	172449
SRR8652846	3248609	426422	2697063	551546
SRR8652847	2882446	346199	2477986	404460
SRR8652848	1363123	3425	1349114	14009
SRR8652849	1501879	51103	1388905	112974
SRR8652850	2068177	260396	1738494	329683
SRR8652857	3028953	42967	2948423	80530
SRR8652859	3869829	79986	3742878	126951
SRR8652861	2728927	114321	2552935	175992
SRR8652862	2865599	105283	2677943	187656
SRR8652863	4424584	47858	4349875	74709
SRR8652865	4972287	194314	4649371	322916
SRR8652866	2060042	121604	1888565	171477
SRR8652877	5453374	740312	3704082	1749292
SRR8652878	1410062	403899	779679	630383
SRR8652879	4762848	20630	4676394	86454
SRR8652880	710041	539578	132583	577458
SRR8652881	5508334	221523	4980849	527485
SRR8652882	5391316	66685	5285752	105564
SRR8652883	1842596	8408	1815635	26961
SRR8652884	5378912	8513	5357803	21109
