prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.04209685665924394	0.004060317033852768	0.004060317033852768	297910	0.004060317033852768	0.0	0.13640342468534825	0.0015373770601859623	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.045843908259434005	0.0	-0.0020345654168269656	59608	0.0	0.0	0.0	0.0	135164	0.0020345654168269656	0.0	0.06276319177957206
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.07295671097251291	0.0	-0.009927229472063814	59270	0.0	0.0	0.0	0.0	114332	0.009927229472063814	0.0	0.19243222959258607
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.026928645961824597	0.0	-0.0010873337189126664	43617	0.0	0.0	0.0	0.0	129675	0.0010873337189126664	0.0	0.0571035801165725
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.03188166631531214	0.26412200313675915	-0.006259126153577313	78343	0.002246531279118747	0.0	0.09422825030488861	0.0005743972020474069	76890	0.00850565743269606	0.0	0.26116472563580795
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.0663664505512319	0.0	-0.002197413618912912	55818	0.0	0.0	0.0	0.0	79184	0.002197413618912912	0.0	0.04682504663423347
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.21595879747972244	13.98795256453235	0.12139019798370025	61230	0.13073656704229952	0.0	0.7366920890365661	0.043050792095378085	48789	0.009346369058599275	0.0	0.2986554295552554
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.04730830006760317	0.0	-0.005588933910856504	59604	0.0	0.0	0.0	0.0	50099	0.005588933910856504	0.0	0.16707313779285024
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.8372469075049637	0.14934105761733804	-4.23300507586296	71900	0.7431432545201669	0.0	3.0766751594059336	0.11381084840055633	33331	4.976148330383126	2.0	6.454266586273782
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.0	0.0	0.0	54084	0.0	0.0	0.0	0.0	45097	0.0	0.0	0.0
