prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.3394234406091819	0.43929316818620395	-0.4832007294133672	297910	0.3785699892530897	0.0	0.8717949189141477	0.22053640361182908	6359	0.8617707186664569	0.0	1.8147192407045536
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.0785056218611623	0.0	-0.004527832854902193	59608	0.0	0.0	0.0	0.0	135164	0.004527832854902193	0.0	0.0815651475621133
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.22708849206777176	0.0	-0.04938250008746458	59270	0.0	0.0	0.0	0.0	114332	0.04938250008746458	0.0	0.3075338637007676
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.05381081877318085	0.0	-0.012747252747252748	43617	0.0	0.0	0.0	0.0	129675	0.012747252747252748	0.0	0.33501325809870974
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.06828754526657761	0.0	-0.1149044088958252	78343	0.0	0.0	0.0	0.0	76890	0.1149044088958252	0.0	2.3796341309763376
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.0656480010476596	0.0	-0.006794301879167509	55818	0.0	0.0	0.0	0.0	79184	0.006794301879167509	0.0	0.14636536849614024
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.04231627631166449	0.0	-0.001619217446555576	61230	0.0	0.0	0.0	0.0	48789	0.001619217446555576	0.0	0.054114385124165824
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.1308184927493154	0.0257043069375103	-0.019077907241547783	59604	0.0005033219247030401	0.0	0.022429190617210513	0.0005033219247030401	50099	0.019581229166250824	0.0	0.20501851563260348
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.23804787335572664	0.0	-0.05070354924844739	71900	0.0	0.0	0.0	0.0	33331	0.05070354924844739	0.0	0.30122364042485344
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.06565905201195267	0.0	-0.0021509191298756014	54084	0.0	0.0	0.0	0.0	45097	0.0021509191298756014	0.0	0.0463280981346497
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.10748891066191954	0.0	-0.052869336835193695	49749	0.0	0.0	0.0	0.0	38075	0.052869336835193695	0.0	0.6955929939709666
D17_2-k141_24953_frag_1	D17_2-k141_24953	dormant	0.23524453071535986	4.996100692326056	0.06195241797944276	37699	0.07745563542799544	0.0	0.3513502938013222	0.053370115918194114	47087	0.015503217448552679	0.0	0.12354297915016568
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.39099873398943263	0.004697844832625307	-0.2344455362256803	47895	0.0011065873264432613	0.0	0.033246996720465063	0.0011065873264432613	32375	0.23555212355212354	0.0	0.8473201818240451
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	0.346503340195016	2.7999951387851945	0.21321063275527494	50039	0.3316613041827375	0.0	0.7735168284230923	0.2017026719159056	12883	0.11845067142746254	0.0	0.39863582828112
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.030909239693842357	0.0	-0.0018420982219121186	42341	0.0	0.0	0.0	0.0	485859	0.0018420982219121186	0.0	0.0842828977501658
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.02903004466662815	0.04218099152678592	-0.06481262466559633	79180	0.0028542561252841627	0.0	0.10610053864379206	0.0007325082091437232	367388	0.06766688079088048	0.0	3.1555971541404753
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.027102555843723362	0.0	-0.027947064136023266	52944	0.0	0.0	0.0	0.0	281246	0.027947064136023266	0.0	1.4582800735683354
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.0	0.0	0.0	38023	0.0	0.0	0.0	0.0	232634	0.0	0.0	0.0
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.4256043446106838	0.0	-0.17425303642638243	52924	0.0	0.0	0.0	0.0	186321	0.17425303642638243	0.0	0.5790143134565571
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.5591385421838173	0.0	-0.26658232326752046	50836	0.0	0.0	0.0	0.0	186539	0.26658232326752046	0.0	0.6742592552847405
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.22216858970150688	0.10375680783942502	-0.17652195254697509	126005	0.020435696996150946	0.0	0.7658973629195199	0.0048331415420023015	76717	0.19695764954312603	0.0	0.8221864677091747
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.14405104876512764	0.0	-0.02554346762035907	42174	0.0	0.0	0.0	0.0	153229	0.02554346762035907	0.0	0.250771644138802
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.00017403498515560412	0.9987581194616856	-0.001308197170893255	73543	1.0520919734033152	0.0	7.464114399023956	0.05572250248154141	114906	1.0534001705742084	0.0	7.569244360551231
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.045006703816425755	0.0	-0.0036327098469624364	64215	0.0	0.0	0.0	0.0	103504	0.0036327098469624364	0.0	0.11414805124799209
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.21903795176004698	0.10482921570902104	-0.0636907721820229	57384	0.007458525024397045	0.0	0.12817878874291894	0.00397323295692179	102306	0.07114929720641995	0.0	0.3907306768186032
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.04489642187621629	0.0	-0.002525150226183242	79019	0.0	0.0	0.0	0.0	74055	0.002525150226183242	0.0	0.07954089764087875
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.058652154826824864	1.435792031147252	0.04995911743593594	101641	0.1645989315335347	0.0	0.49638612800689447	0.12100431912318847	49058	0.11463981409759876	0.0	1.0975798437575917
E23_2-k141_90385_frag_1	E23_2-k141_90385	dormant	0.030930198880251804	0.8134659114139041	-0.012789686225629891	49072	0.055775187479621784	0.0	0.45761728805312174	0.028142321486794915	88048	0.06856487370525167	0.0	0.3640790262564114
E17_1-k141_28919_frag_1	E17_1-k141_28919	dormant	0.17852014122243548	0.0	-0.024797151846332174	103011	0.0	0.0	0.0	0.0	24156	0.024797151846332174	0.0	0.19643984263721145
G17_2-k141_145354_frag_1	G17_2-k141_145354	dormant	0.033706074257413274	5.1893514902351345	0.01494581307769885	50504	0.01851338507840963	0.0	0.6155119348037085	0.003484872485347695	73159	0.0035675720007107806	0.0	0.11991905668852967
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.3016364774977128	3.7372375768574524	0.12924568706241082	48095	0.1764632498180684	0.0	0.5052866659628716	0.13011747582908825	67962	0.047217562755657576	0.0	0.3344822649781041
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.11897058250517115	0.0	-0.014054535556985203	60450	0.0	0.0	0.0	0.0	20207	0.014054535556985203	0.0	0.16706747482453863
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.013831310517930793	0.8871040528710407	-0.0025047957268943197	66660	0.019681968196819683	0.0	0.2095162250774956	0.010246024602460246	13161	0.022186763923714003	0.0	0.14729056802903662
G21_2-k141_64191_frag_1	G21_2-k141_64191	dormant	0.6671207549748351	0.01323712673955597	-0.6600972704010485	55223	0.008855006066312949	0.0	0.09728676176483467	0.008510946525904062	21876	0.6689522764673614	0.0	1.3959386599938481
G20_2-k141_28693_frag_1	G20_2-k141_28693	dormant	0.21002686742264848	0.03796768845691253	0.03796768845691253	61526	0.03796768845691253	0.0	0.2556550055077949	0.027939407730065337	12121	0.0	0.0	0.0
G2_2-k141_67665_frag_1	G2_2-k141_67665	dormant	0.031309830452888925	1.119054292830735	0.017745854549934797	42889	0.16680267667700344	0.0	0.5656073881070248	0.10688055212292197	25923	0.14905682212706864	0.0	0.5679545795233767
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.03792252715816657	0.0	-0.006692010115050324	35123	0.0	0.0	0.0	0.0	298565	0.006692010115050324	0.0	0.24955961992643885
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.037375231789953424	0.0	-0.024823409750312872	59608	0.0	0.0	0.0	0.0	213347	0.024823409750312872	0.0	0.9392745155542683
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.08932762772347354	0.0	-0.010373112397725339	60476	0.0	0.0	0.0	0.0	193963	0.010373112397725339	0.0	0.16422462580441657
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	1.6329638979573464	0.000921862623655782	-4.803492981845	63399	0.00443224656540324	0.0	0.08589498362756208	0.0030599851732677173	171402	4.8079252284104035	4.0	4.159134635873519
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	0.028822143765152238	0.0	-0.0010749938986832778	41247	0.0	0.0	0.0	0.0	172094	0.0010749938986832778	0.0	0.05274662993057173
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.04768624826477459	1.3036478725088796	0.04588677934539315	101642	0.1970051750260719	0.0	0.5631904919180146	0.14274610889199346	51860	0.15111839568067875	0.0	1.2388389898097438
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.06534158986387104	0.0	-0.004260428366706689	96735	0.0	0.0	0.0	0.0	25819	0.004260428366706689	0.0	0.09221011595016468
K14_2-k141_50755_frag_1	K14_2-k141_50755	dormant	0.07066498482903724	0.0	-0.006875115786006875	50332	0.0	0.0	0.0	0.0	48581	0.006875115786006875	0.0	0.1375912272673554
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.023663327357595673	0.0	-0.0034742647408769617	42703	0.0	0.0	0.0	0.0	525291	0.0034742647408769617	0.0	0.20763573277642683
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.5210067388064747	0.0	-0.27036827954417153	66688	0.0	0.0	0.0	0.0	104513	0.27036827954417153	0.0	0.7338839582819153
M5_1-k141_343_frag_1	M5_1-k141_343	dormant	0.0	0.0	0.0	56844	0.0	0.0	0.0	0.0	64362	0.0	0.0	0.0
O18_2-k141_40615_frag_1	O18_2-k141_40615	dormant	0.07273343720744894	3.3499271174455947	0.0066893437703575195	59564	0.009535961318917466	0.0	0.11865368981115487	0.007219125646363575	59720	0.0028466175485599462	0.0	0.053277709382918446
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.5001324044721217	0.0	-0.28100435436070736	64102	0.0	0.0	0.0	0.0	543593	0.28100435436070736	0.0	0.7945899235268595
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	0.0288531878827725	1.425428343732625	0.015637298527259612	162020	0.05239389633656638	0.0	0.3804924363686383	0.026934946302925564	13603	0.03675659780930677	0.0	0.6653334908555862
A16_2-k141_59131_frag_1	A16_2-k141_59131	dormant	0.06956643413039591	0.5590717977358297	-0.034979959840043956	68376	0.04435259285316448	0.0	0.6057429094933315	0.006259506259506259	44408	0.07933255269320844	0.0	0.37248863077820704
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.20669738000129526	2.7220773312839346	0.10458539532756009	67723	0.16531750847231882	0.0	0.6714420875838818	0.08056347178949544	26444	0.06073211314475874	0.0	0.24739332520256127
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.0519034754357614	0.4742876622350819	-0.005630920664300627	82038	0.005080109417741305	0.0	0.11376785866554233	0.002852336722006875	4388	0.010711030082041932	0.0	0.10293835007724837
C9_2-k141_78995_frag_1	C9_2-k141_78995	dormant	0.0	0.0	0.0	54744	0.0	0.0	0.0	0.0	21602	0.0	0.0	0.0
A9_2-k141_24686_frag_1	A9_2-k141_24686	dormant	0.15849308085787686	1.1808702088686043	0.35769628816343113	60373	2.3353369974926523	2.0	2.0672842179019284	0.8135259139019098	2594	1.9776407093292212	1.0	2.431696309066996
C1_2-k141_94561_frag_1	C1_2-k141_94561	dormant	0.24052284646041824	0.0	-0.028112449799196786	4658	0.0	0.0	0.0	0.0	1743	0.028112449799196786	0.0	0.16529410142374779
C23_2-k141_164129_frag_1	C23_2-k141_164129	dormant	0.26267276646898713	0.10621348911311737	0.10621348911311737	3916	0.10621348911311737	0.0	0.5718467080921092	0.03421859039836568	1447	0.0	0.0	0.0
F23_1-k141_61569_frag_1	F23_1-k141_61569	dormant	0.06281235597385372	0.005330634931394099	0.005330634931394099	206692	0.005330634931394099	0.0	0.12001868261676651	0.002825460104890368	9067	0.0	0.0	0.0
E11_1-k141_13932_frag_1	E11_1-k141_13932	dormant	1.2349144447112097	0.026827483779799894	-7.704945475529636	80940	0.21240252506498328	0.0	0.7796709411385478	0.10958734865332345	6727	7.917348000594619	5.0	8.789124304141259
E23_1-k141_60915_frag_1	E23_1-k141_60915	dormant	0.9546878633198169	0.0	-1.1241214936136406	67521	0.0	0.0	0.0	0.0	16363	1.1241214936136406	1.0	1.6652017094837115
G3_2-k141_48369_frag_1	G3_2-k141_48369	dormant	0.07043442703586422	0.0024743665791034657	0.0024743665791034657	59155	0.0024743665791034657	0.0	0.04968142599738982	0.002468092299890119	1593	0.0	0.0	0.0
E23_1-k141_127123_frag_1	E23_1-k141_127123	dormant	0.0	0.0	0.0	4983	0.0	0.0	0.0	0.0	1708	0.0	0.0	0.0
K16_2-k141_21419_frag_1	K16_2-k141_21419	dormant	0.635586053825678	0.04168598048992439	-0.4627091555741324	29165	0.02012752024814751	0.0	0.19962445597901596	0.010012000685753471	144902	0.4828366758222799	0.0	1.0100146380311787
I22_2-k141_19457_frag_1	I22_2-k141_19457	dormant	0.0847743993955391	0.20473193926914912	-0.008405989927122754	111979	0.0021640182779064463	0.0	0.04646864860098972	0.0021611194956197145	41438	0.0105700082050292	0.0	0.13230629338115096
I1_1-k141_2715_frag_1	I1_1-k141_2715	dormant	1.3233594932430743	0.00934428602544776	-2.5698635397733485	66404	0.024240045884022097	0.0	0.23876545531055954	0.013237154388289861	6275	2.5941035856573706	2.0	2.735896302660525
J23_1-k141_32459_frag_1	J23_1-k141_32459	dormant	0.0	0.0	0.0	65929	0.0	0.0	0.0	0.0	5059	0.0	0.0	0.0
J21_2-k141_3283_frag_1	J21_2-k141_3283	dormant	0.26488864725392364	0.0	-0.08849557522123894	37864	0.0	0.0	0.0	0.0	8249	0.08849557522123894	0.0	0.4724688807365666
O11_1-k141_3288_frag_1	O11_1-k141_3288	dormant	0.016321566455797937	0.0	-0.0021772954011824723	36745	0.0	0.0	0.0	0.0	1060490	0.0021772954011824723	0.0	0.1886559537029613
