prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.07698561514118223	0.003731192907039226	0.003731192907039226	297910	0.003731192907039226	0.0	0.06854142300854955	0.00323923332550099	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.3134909725751367	20.638424335696513	0.052886763178017306	59608	0.05557978794792645	0.0	0.23288496596033587	0.054707421822574154	135164	0.0026930247699091473	0.0	0.05182443813011391
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.253307884656946	26.49448138353653	0.040360538872932436	59270	0.04194364771385187	0.0	0.2217971937090835	0.037438839210393114	114332	0.0015831088409194276	0.0	0.0397567932223266
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.036853234954779594	0.0	-0.0006786196259880471	43617	0.0	0.0	0.0	0.0	129675	0.0006786196259880471	0.0	0.026041488079471452
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.2431089838607893	25.36740318524866	0.03929715170985607	78343	0.040909845168043094	0.0	0.22505018881060992	0.035433925175191144	76890	0.0016126934581870203	0.0	0.040125960150492704
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.05958423539076509	0.0	-0.002462618710850677	55818	0.0	0.0	0.0	0.0	79184	0.002462618710850677	0.0	0.05844950022432529
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.04391493599612415	0.0	-0.00674332329008588	61230	0.0	0.0	0.0	0.0	48789	0.00674332329008588	0.0	0.2171584458906529
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.24411538568227195	22.405117683521276	0.039734843900426725	59604	0.04159116837796121	0.0	0.22613216092428529	0.03595396282128716	50099	0.0018563244775344817	0.0	0.04304507564132126
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.8284071143310245	0.02190447002532039	-0.6458816901605922	71900	0.014464534075104311	0.0	0.13778280486030026	0.012100139082058415	33331	0.6603462242356964	0.0	1.0939731086909337
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.06799221533700667	0.0	-0.0023061400980109543	54084	0.0	0.0	0.0	0.0	45097	0.0023061400980109543	0.0	0.047966882490507935
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.5452560633141051	12.580248930541558	0.24057720036922842	49749	0.26135198697461254	0.0	0.6018107290486127	0.2032804679491045	38075	0.02077478660538411	0.0	0.16483877746265846
