Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	SRR9161485	SRR9161486	SRR9161487	SRR9161488	SRR9161489	SRR9161490	SRR9161491	SRR9161492	SRR9161493	SRR9161494	SRR9161495	SRR9161496	SRR9161497	SRR9161498	SRR9161499	SRR9161500	SRR9161501	SRR9161502	SRR9161503	SRR9161504	SRR9161505	SRR9161506	SRR9161507	SRR9161508	SRR9161509	SRR9161510	SRR9161511	SRR9161512	SRR9161513	SRR9161514	SRR9161515	SRR9161516	SRR9161517	SRR9161518	SRR9161519	SRR9161520	SRR9161521	SRR9161522	SRR9161523	SRR9161524	SRR9161525	SRR9161526	SRR9161527	SRR9161528	SRR9161529	SRR9161530	SRR9161531	SRR9161532	SRR9161533	SRR9161534	SRR9161535	SRR9161536	SRR9161537	SRR9161538	SRR9161539	SRR9161540	SRR9161541	SRR9161542	SRR9161543	SRR9161544	SRR9161545	SRR9161546	SRR9161547	SRR9161548	SRR9161549	SRR9161550	SRR9161551	SRR9161552	SRR9161553	SRR9161554	SRR9161555	SRR9161556	SRR9161557	SRR9161558	SRR9161559	SRR9161560	SRR9161561	SRR9161562	SRR9161563	SRR9161564	SRR9161565	SRR9161566	SRR9161567	SRR9161568	SRR9161569	SRR9161570	SRR9161571	SRR9161572	SRR9161573	SRR9161574	SRR9161575	SRR9161576	SRR9161577	SRR9161578	SRR9161579	SRR9161580	SRR9161581	SRR9161582	SRR9161583	SRR9161584	SRR9161585	SRR9161586	SRR9161587	SRR9161588	SRR9161589	SRR9161590	SRR9161591	SRR9161592	SRR9161593	SRR9161594	SRR9161595	SRR9161596	SRR9161597	SRR9161598	SRR9161599	SRR9161600	SRR9161601	SRR9161602	SRR9161603	SRR9161604	SRR9161605	SRR9161606	SRR9161607	SRR9161608	SRR9161609	SRR9161610	SRR9161611	SRR9161612	SRR9161613	SRR9161614	SRR9162899	SRR9162900	SRR9162901	SRR9162902	SRR9162903	SRR9162904	SRR9162905	SRR9162906	SRR9162907	SRR9162908
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Saccharomycetaceae|genus_Saccharomyces|species_Saccharomyces cerevisiae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_4893|genus_4930|species_4932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34115534786386e-08	0	2.59832290098992e-08	0	0	0	0	0	0	0	7.00505431549182e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85719397925028e-06	0	1.56165236962215e-06	2.20862799715075e-06	0	3.85543571250613e-06	0	0	2.7096828492913e-07	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Debaryomycetaceae|genus_Debaryomyces|species_Debaryomyces hansenii	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_766764|genus_4958|species_4959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30021244726844e-08	0	0	0	0	0	0	2.92426361188196e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26094720532846e-09	0	0	0	4.53313472457719e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35948668041683e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.93718142307901e-07	0	0	0	0	0	6.44837418058476e-07	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Pichiaceae|genus_Brettanomyces|species_Brettanomyces bruxellensis	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_1156497|genus_13366|species_5007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88291219220134e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|class_Eurotiomycetes|subclass_Eurotiomycetidae|order_Eurotiales|family_Aspergillaceae|genus_Aspergillus|subgenus_Aspergillus subgen. Circumdati|species_Aspergillus oryzae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|class_147545|subclass_451871|order_5042|family_1131492|genus_5052|subgenus_2720871|species_5062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7416829366753e-08	0	5.30214728523482e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Basidiomycota|subphylum_Ustilaginomycotina|class_Ustilaginomycetes|order_Ustilaginales|family_Ustilaginaceae|genus_Ustilago|species_Ustilago maydis	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_5204|subphylum_452284|class_5257|order_5267|family_5268|genus_5269|species_5270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54658303527315e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Saccharomycetaceae|genus_Nakaseomyces|clade_Nakaseomyces/Candida clade|species_[Candida] glabrata	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_4893|genus_374468|clade_600669|species_5478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77828800978997e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Metazoa|clade_Eumetazoa|clade_Bilateria|clade_Deuterostomia|phylum_Chordata|subphylum_Craniata|clade_Vertebrata|clade_Gnathostomata|clade_Teleostomi|clade_Euteleostomi|superclass_Sarcopterygii|clade_Dipnotetrapodomorpha|clade_Tetrapoda|clade_Amniota|class_Mammalia|clade_Theria|clade_Eutheria|clade_Boreoeutheria|superorder_Euarchontoglires|order_Primates|suborder_Haplorrhini|infraorder_Simiiformes|parvorder_Catarrhini|superfamily_Hominoidea|family_Hominidae|subfamily_Homininae|genus_Homo|species_Homo sapiens	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_33208|clade_6072|clade_33213|clade_33511|phylum_7711|subphylum_89593|clade_7742|clade_7776|clade_117570|clade_117571|superclass_8287|clade_1338369|clade_32523|clade_32524|class_40674|clade_32525|clade_9347|clade_1437010|superorder_314146|order_9443|suborder_376913|infraorder_314293|parvorder_9526|superfamily_314295|family_9604|subfamily_207598|genus_9605|species_9606	4.23304519905157e-09	7.15132075086572e-10	1.59995400392564e-07	3.13585567246963e-10	7.33304434331575e-08	1.30131451218196e-08	1.19706416813785e-09	6.23846880365537e-10	1.61528604910013e-10	6.07009971405551e-09	1.66547285932772e-09	2.57028719334492e-08	3.03525229792529e-09	4.32957600978161e-08	5.56100200784575e-10	4.63984679080704e-07	4.67031786971944e-08	3.3766699436972e-06	2.09823348523088e-08	1.72741908485565e-08	8.01039259412644e-09	2.27812422494496e-07	1.60884141488688e-08	3.99048927072978e-10	6.83612723079843e-08	2.15800108786825e-07	5.75015969869798e-10	3.87778779610942e-09	9.31788622830387e-11	6.57009654103064e-10	3.59940880674976e-09	1.04471974162566e-09	6.66214040737682e-11	2.31370711406734e-09	6.32145317011901e-08	7.31350590228061e-09	2.84651556142018e-10	1.80317879755784e-09	1.93041061468809e-09	1.23080247737606e-10	1.41260899744376e-09	2.22512766484893e-10	3.8059554153642e-10	1.56150876861064e-09	1.5015909364943e-10	5.8329790362419e-10	5.39397496362685e-09	6.84121953100603e-11	3.13428992843274e-09	1.67519909733167e-09	2.84906744098365e-08	8.26620928164917e-10	4.88695004260317e-08	1.10653426424449e-08	2.37595958869872e-10	5.41033985436782e-10	5.37525712598053e-11	5.91543577488849e-10	8.71009965741084e-10	5.50831025129508e-11	1.6011316942732e-09	7.95582545939131e-09	1.8664965010982e-10	1.42030498659362e-09	4.60579364874655e-10	2.58315284029802e-09	1.05648126117731e-08	8.51432760410058e-10	1.78338112735254e-08	2.71328718557211e-09	2.41541165646315e-08	4.03766055586763e-08	2.04609765707035e-08	3.06092573417646e-08	9.79838575417447e-11	2.89433034081606e-10	8.87003055625741e-10	1.08249280967842e-09	1.79066822804788e-10	3.28101272152306e-11	1.67043775545734e-10	2.23833958385601e-11	2.29877326778926e-10	3.73261488841397e-09	8.7548658011196e-09	5.95723477424247e-10	2.62159875991339e-10	9.77156444752145e-10	3.82399003259099e-10	2.56629631296033e-09	2.08052154710908e-09	4.60644341223102e-09	3.01778467789363e-09	8.99733465663963e-10	7.42542291496376e-08	1.33901725073861e-09	1.92708178474407e-09	5.30056431308366e-09	1.63917488026387e-08	8.43388235405105e-10	3.73356882047041e-10	1.77769012783855e-08	1.6690529696672e-08	9.7515339748854e-09	3.88815676645502e-08	1.28003007485896e-08	9.55335904470453e-08	6.84527920381434e-09	9.60012974396625e-09	3.0159201323907e-09	4.02429571100602e-08	4.07382073273204e-09	2.03945682725575e-08	3.42823508890604e-09	1.39304226800709e-10	2.76020694447266e-10	8.43395475363814e-08	7.99919331609214e-11	2.98492482749531e-09	6.63864408326561e-10	2.82830027780937e-07	1.04208043737024e-08	2.62233865837179e-09	3.56605899161607e-10	8.0055951729171e-11	2.28174387031289e-08	5.83525892231023e-11	4.09416478167381e-07	3.52265411472637e-11	1.11728055624024e-08	6.82722687592608e-08	3.78541555643419e-08	3.08552545584077e-07	6.17857971123982e-08	2.38145041259723e-08	2.21485285289644e-07	2.74909680662106e-07	5.41397261469824e-09	7.55065728308901e-08	3.53815259609722e-09
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Leotiomycetes|order_Helotiales|family_Sclerotiniaceae|genus_Botrytis|species_Botrytis cinerea	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147548|order_5178|family_28983|genus_33196|species_40559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84038570621107e-09	0	0	0	0	0	0	0	0	0	1.5878985660257e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Basidiomycota|subphylum_Ustilaginomycotina|class_Malasseziomycetes|order_Malasseziales|family_Malasseziaceae|genus_Malassezia|species_Malassezia restricta	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_5204|subphylum_452284|class_1538075|order_162474|family_742845|genus_55193|species_76775	0	0	1.96985672737788e-07	0	5.52991258121171e-09	0	0	0	0	0	0	0	0	0	0	4.09592866218029e-07	0	0	0	0	0	0	2.7088808051815e-07	0	0	3.83708419439638e-07	0	0	0	0	1.4668782125694e-08	5.31128238933054e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72865493713084e-08	0	1.70080834709604e-07	1.96396985916297e-08	0	0	0	0	0	0	3.24676216034015e-08	0	1.04390161670543e-08	0	0	0	0	0	0	0	0	0	0	0	0	2.9420000234371e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.05894508268296e-09	0	0	2.57232436976474e-07	0	0	0	0	0	0	0	0	0	0	4.11832593625802e-08	0	0	1.27895997859647e-08	1.3231800721141e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Basidiomycota|subphylum_Agaricomycotina|class_Agaricomycetes|subclass_Agaricomycetidae|order_Agaricales|family_Marasmiaceae|genus_Marasmius|species_Marasmius oreades	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_5204|subphylum_5302|class_155619|subclass_452333|order_5338|family_654128|genus_34448|species_181124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00978529931298e-08	0	0	0	0	0	0	3.22759498916151e-08	0	0	4.67507081957294e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
