Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	121818-SC-Day1	121818-SC-Day2	121818-SC-Day3	SCV2-Week1-Mouse10	SCV2-Week1-Mouse11	SCV2-Week1-Mouse12	SCV2-Week1-Mouse13	SCV2-Week1-Mouse14	SCV2-Week1-Mouse16	SCV2-Week1-Mouse17	SCV2-Week1-Mouse18	SCV2-Week1-Mouse19	SCV2-Week1-Mouse1	SCV2-Week1-Mouse20	SCV2-Week1-Mouse2	SCV2-Week1-Mouse3	SCV2-Week1-Mouse4	SCV2-Week1-Mouse5	SCV2-Week1-Mouse6	SCV2-Week1-Mouse7	SCV2-Week1-Mouse8	SCV2-Week1-Mouse9	SCV2-Week3-Mouse10	SCV2-Week3-Mouse11	SCV2-Week3-Mouse12	SCV2-Week3-Mouse13	SCV2-Week3-Mouse14	SCV2-Week3-Mouse15	SCV2-Week3-Mouse16	SCV2-Week3-Mouse17	SCV2-Week3-Mouse18	SCV2-Week3-Mouse19	SCV2-Week3-Mouse1	SCV2-Week3-Mouse20	SCV2-Week3-Mouse2	SCV2-Week3-Mouse3	SCV2-Week3-Mouse4	SCV2-Week3-Mouse5	SCV2-Week3-Mouse6	SCV2-Week3-Mouse7	SCV2-Week3-Mouse8	SCV2-Week3-Mouse9	SCV2-Week4-Mouse10	SCV2-Week4-Mouse11	SCV2-Week4-Mouse12	SCV2-Week4-Mouse14	SCV2-Week4-Mouse15	SCV2-Week4-Mouse16	SCV2-Week4-Mouse17	SCV2-Week4-Mouse18	SCV2-Week4-Mouse19	SCV2-Week4-Mouse1	SCV2-Week4-Mouse20	SCV2-Week4-Mouse2	SCV2-Week4-Mouse3	SCV2-Week4-Mouse4	SCV2-Week4-Mouse5	SCV2-Week4-Mouse6	SCV2-Week4-Mouse7	SCV2-Week4-Mouse8	SCV2-Week4-Mouse9	SCV2-Week5-Mouse10	SCV2-Week5-Mouse11	SCV2-Week5-Mouse12	SCV2-Week5-Mouse13	SCV2-Week5-Mouse14	SCV2-Week5-Mouse15	SCV2-Week5-Mouse16	SCV2-Week5-Mouse17	SCV2-Week5-Mouse18	SCV2-Week5-Mouse19	SCV2-Week5-Mouse1	SCV2-Week5-Mouse20	SCV2-Week5-Mouse2	SCV2-Week5-Mouse3	SCV2-Week5-Mouse4	SCV2-Week5-Mouse5	SCV2-Week5-Mouse6	SCV2-Week5-Mouse7	SCV2-Week5-Mouse8	SCV2-Week5-Mouse9	SCV2-Week6-Mouse10	SCV2-Week6-Mouse11	SCV2-Week6-Mouse12	SCV2-Week6-Mouse14	SCV2-Week6-Mouse15	SCV2-Week6-Mouse16	SCV2-Week6-Mouse17	SCV2-Week6-Mouse18	SCV2-Week6-Mouse19	SCV2-Week6-Mouse1	SCV2-Week6-Mouse20	SCV2-Week6-Mouse2	SCV2-Week6-Mouse3	SCV2-Week6-Mouse4	SCV2-Week6-Mouse5	SCV2-Week6-Mouse6	SCV2-Week6-Mouse7	SCV2-Week6-Mouse8	SCV2-Week6-Mouse9	SCV2-Week7-Mouse10	SCV2-Week7-Mouse11	SCV2-Week7-Mouse12	SCV2-Week7-Mouse13	SCV2-Week7-Mouse14	SCV2-Week7-Mouse15	SCV2-Week7-Mouse16	SCV2-Week7-Mouse17	SCV2-Week7-Mouse18	SCV2-Week7-Mouse19	SCV2-Week7-Mouse1	SCV2-Week7-Mouse20	SCV2-Week7-Mouse2	SCV2-Week7-Mouse3	SCV2-Week7-Mouse4	SCV2-Week7-Mouse5	SCV2-Week7-Mouse6	SCV2-Week7-Mouse7	SCV2-Week7-Mouse8	SCV2-Week7-Mouse9	SCV2-Week8-Mouse10-Cecum	SCV2-Week8-Mouse10	SCV2-Week8-Mouse10-Small-Intestine	SCV2-Week8-Mouse11-Cecum	SCV2-Week8-Mouse11	SCV2-Week8-Mouse11-Small-Intestine	SCV2-Week8-Mouse12-Cecum	SCV2-Week8-Mouse12	SCV2-Week8-Mouse12-Small-Intestine	SCV2-Week8-Mouse13-Cecum	SCV2-Week8-Mouse13	SCV2-Week8-Mouse13-Small-Intestine	SCV2-Week8-Mouse14-Cecum	SCV2-Week8-Mouse14	SCV2-Week8-Mouse14-Small-Intestine	SCV2-Week8-Mouse15-Cecum	SCV2-Week8-Mouse15	SCV2-Week8-Mouse15-Small-Intestine	SCV2-Week8-Mouse16-Cecum	SCV2-Week8-Mouse16	SCV2-Week8-Mouse16-Small-Intestine	SCV2-Week8-Mouse17-Cecum	SCV2-Week8-Mouse17	SCV2-Week8-Mouse17-Small-Intestine	SCV2-Week8-Mouse18-Cecum	SCV2-Week8-Mouse18	SCV2-Week8-Mouse18-Small-Intestine	SCV2-Week8-Mouse19-Cecum	SCV2-Week8-Mouse19	SCV2-Week8-Mouse1-Cecum	SCV2-Week8-Mouse1	SCV2-Week8-Mouse1-Small-Intestine	SCV2-Week8-Mouse20-Cecum	SCV2-Week8-Mouse20	SCV2-Week8-Mouse2-Cecum	SCV2-Week8-Mouse2	SCV2-Week8-Mouse2-Small-Intestine	SCV2-Week8-Mouse3-Cecum	SCV2-Week8-Mouse3	SCV2-Week8-Mouse3-Small-Intestine	SCV2-Week8-Mouse4-Cecum	SCV2-Week8-Mouse4	SCV2-Week8-Mouse4-Small-Intestine	SCV2-Week8-Mouse5-Cecum	SCV2-Week8-Mouse5	SCV2-Week8-Mouse5-Small-Intestine	SCV2-Week8-Mouse6-Cecum	SCV2-Week8-Mouse6	SCV2-Week8-Mouse6-Small-Intestine	SCV2-Week8-Mouse7-Cecum	SCV2-Week8-Mouse7	SCV2-Week8-Mouse7-Small-Intestine	SCV2-Week8-Mouse8-Cecum	SCV2-Week8-Mouse8	SCV2-Week8-Mouse8-Small-Intestine	SCV2-Week8-Mouse9-Cecum	SCV2-Week8-Mouse9	SCV2-Week8-Mouse9-Small-Intestine	SCV2-Week8-MouseSI19	SCV2-Week8-MouseSI20
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|class_Eurotiomycetes|subclass_Eurotiomycetidae|order_Eurotiales|family_Aspergillaceae|genus_Aspergillus|subgenus_Aspergillus subgen. Circumdati|species_Aspergillus oryzae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|class_147545|subclass_451871|order_5042|family_1131492|genus_5052|subgenus_2720871|species_5062	0	0	0	1.18322995444803e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78372852859394e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86179136760013e-08	0	0	0	2.7542050979665e-08	0	0	0	0	0	0	2.0889421218772e-08	1.58289574832474e-08	0	0	0	0	0	0	1.66232246859463e-08	2.86309674516048e-08	0	2.84444996789353e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73879185083003e-08	0	0	0	1.45889416136311e-08	0	0	0	0	0	0	0	0	0	0	0	0	9.54052053004349e-08	0	0	0	0	1.77034754980803e-08	0	1.1007639884769e-07	0	0	0	0	0	0	0	2.44512375316672e-07	4.73347122120367e-08	0	8.88217739750023e-07	8.60437141069865e-08	0	6.9394988709093e-07	0	0	9.26099537870882e-07	1.81245436483237e-08	1.04690561990142e-08	6.25126406954169e-06	0	0	4.6995883260664e-07	0	0	3.3012953067988e-07	0	0	2.05066194243743e-05	2.1798466497039e-08	0	1.09855797367404e-07	0	0	1.08324101084392e-08	0	1.94243460584047e-07	0	0	3.64734097455817e-08	2.72036272606001e-08	3.9063767231745e-07	1.25973296781076e-07	0	1.59826573930541e-07	6.0342027176069e-07	9.53773729089259e-08	8.21521175170543e-07	0	0	1.08517785580929e-06	1.90217699053847e-08	1.3926239718468e-05	6.30095919155413e-07	8.16034813630951e-08	0	1.09300422270492e-07	0	0	3.1159935116598e-06	0	0	2.39162808907796e-07	0	1.22675958155856e-07
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Sordariomycetidae|order_Sordariales|family_Sordariaceae|genus_Neurospora|species_Neurospora crassa	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222544|order_5139|family_5148|genus_5140|species_5141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35626021697242e-08	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium oxysporum species complex|species_Fusarium oxysporum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_171631|species_5507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17371455267027e-07	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Metazoa|clade_Eumetazoa|clade_Bilateria|clade_Deuterostomia|phylum_Chordata|subphylum_Craniata|clade_Vertebrata|clade_Gnathostomata|clade_Teleostomi|clade_Euteleostomi|superclass_Sarcopterygii|clade_Dipnotetrapodomorpha|clade_Tetrapoda|clade_Amniota|class_Mammalia|clade_Theria|clade_Eutheria|clade_Boreoeutheria|superorder_Euarchontoglires|order_Primates|suborder_Haplorrhini|infraorder_Simiiformes|parvorder_Catarrhini|superfamily_Hominoidea|family_Hominidae|subfamily_Homininae|genus_Homo|species_Homo sapiens	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_33208|clade_6072|clade_33213|clade_33511|phylum_7711|subphylum_89593|clade_7742|clade_7776|clade_117570|clade_117571|superclass_8287|clade_1338369|clade_32523|clade_32524|class_40674|clade_32525|clade_9347|clade_1437010|superorder_314146|order_9443|suborder_376913|infraorder_314293|parvorder_9526|superfamily_314295|family_9604|subfamily_207598|genus_9605|species_9606	5.49623195343533e-10	1.87388809868751e-10	2.03716910705246e-10	1.1054823455371e-08	5.73669818035843e-10	1.17503104463255e-08	3.24893849273008e-09	3.54949918828005e-09	7.96653600449268e-09	4.14047289465428e-09	4.30366674827273e-09	3.84828250474404e-09	2.46130141068467e-09	5.55967816563321e-09	4.38473280872444e-09	1.33261023719616e-08	1.14712691053069e-08	7.69203265965713e-10	5.63878279415437e-09	6.35541097544642e-09	5.87851051055878e-09	8.55043734566578e-08	8.3636609596586e-09	5.5815362118357e-09	2.88289863275484e-09	1.1277875489265e-09	3.75794101203416e-09	2.58196987432025e-09	3.60131347861338e-09	9.22569397189836e-09	5.36850167404218e-09	2.6693403665545e-09	4.67383959054501e-09	1.6627187696416e-09	2.73461882393877e-09	5.00947955857924e-09	2.50967759543493e-09	1.98068115523254e-09	3.39357622975297e-09	1.36013489795485e-09	2.8804170456632e-09	5.8443978722902e-09	2.9043472611683e-09	9.2185474561746e-10	3.9307447854792e-09	3.62298931641136e-09	2.03643927325682e-09	1.79740287797031e-09	1.64766938424354e-09	4.19782151276091e-10	2.51490553522648e-09	1.11273599338394e-08	1.12996369504468e-09	2.78859288262048e-09	2.64775675828964e-09	2.81931671658091e-08	1.3769918347537e-08	9.55797156226161e-10	4.5572039802872e-09	6.01054905342028e-09	5.48628540755167e-09	1.88307877128188e-09	9.15194750106296e-09	1.32762659676208e-08	9.98098788138435e-09	9.3866832132988e-10	1.88265832675461e-08	1.54782702403066e-09	1.67210205975712e-09	3.3871348447764e-09	1.82085568572491e-08	2.52418113767276e-08	1.26308701068115e-08	1.81029071666823e-08	6.38251567003325e-10	1.49635152510391e-09	5.01956371472524e-09	5.93963798563914e-10	3.94156239357728e-09	9.22905950357466e-10	1.92915915101626e-09	1.9047162235833e-09	0	1.38991478277417e-09	1.68287364846252e-09	5.49870714903525e-09	1.35720665145264e-09	3.0310154078945e-09	6.28787470090186e-09	1.49233352056871e-09	1.97838497419273e-08	1.72961951477316e-09	6.98445888264525e-09	9.4206395966364e-10	1.55300501902635e-08	1.65349025048408e-09	8.49864028149238e-10	2.5985536612646e-09	3.39744770228457e-09	1.21784025422757e-09	1.23117921412632e-09	0	7.30597197986129e-10	9.1320727343347e-10	2.02868991482045e-09	1.07666479489302e-09	7.18085979879999e-09	1.27655233800178e-07	2.38768426246382e-09	3.29171008223773e-09	1.93827410221651e-08	2.01182027286185e-09	1.23230422309815e-08	1.38285560265769e-08	2.08550177287121e-07	0	2.36644420957731e-10	2.12796354142406e-09	1.66719206489167e-09	2.0171092452512e-09	4.03666575289336e-09	4.84986897142209e-09	3.09391476367479e-07	3.68952533251567e-08	5.19581895829943e-09	6.92155188816015e-07	7.8010886974786e-08	5.45480925446094e-09	7.75902486756183e-07	9.73399832681885e-09	7.37643156431482e-10	7.68106262967537e-07	2.05322494049553e-08	2.32895169480234e-09	5.4014136273884e-06	6.0945556499105e-09	2.07957434784265e-09	4.05310133135775e-07	5.98968105240371e-09	1.12081149280604e-08	3.56127255458471e-07	7.44966884771012e-09	7.43831064809547e-10	0.000105913537123591	1.76603047813295e-08	4.49755788675226e-09	2.15837737854965e-07	8.63147183302351e-09	9.29532659109094e-09	8.92372987428857e-09	7.17277372883446e-09	1.95414081459652e-07	7.11229731593018e-09	6.27999637096659e-09	3.6137600943326e-08	3.30954153321253e-08	5.40224478187394e-07	1.03494956176678e-07	1.75948379153786e-09	1.45686802579129e-07	7.19004298094096e-07	1.15514255503823e-07	8.07072264082362e-07	0	1.16670312356954e-08	1.46446992388855e-06	2.70747346409943e-08	1.48258676847634e-05	4.17625560611031e-07	8.06218488133762e-08	3.04472448851305e-10	1.23541409004988e-07	3.02574259649403e-08	1.6159547941187e-09	2.53843769031209e-06	1.91017529168619e-09	0	1.94462958525695e-07	4.31583699061827e-08	3.26088997074649e-07
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium sambucinum species complex|species_Fusarium poae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_569360|species_36050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90113375105323e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.060136060609e-08	0	0	0	0	0	0	5.27638140039331e-07	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Leotiomycetes|order_Helotiales|family_Sclerotiniaceae|genus_Botrytis|species_Botrytis cinerea	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147548|order_5178|family_28983|genus_33196|species_40559	0	0	0	6.40932249358075e-08	2.06401292300668e-08	3.02312907673083e-08	1.13351674142281e-08	1.25842880555727e-07	4.26268578365372e-08	8.33781813814751e-08	3.55193341737061e-08	1.12570232396239e-07	1.94360346988674e-08	1.30209039895787e-07	5.31398002807513e-08	1.48313361251258e-07	2.93050063220888e-08	3.05042739841296e-08	8.95736552086823e-08	2.94831625506615e-08	6.0039724137116e-08	3.21833377956133e-08	2.42446597055914e-07	4.19099901572472e-08	2.52545697445638e-08	2.20077514710548e-08	1.45189123612092e-07	3.35627787760375e-08	6.23504611993402e-08	3.31049120027211e-08	6.42022438827213e-08	6.65880727069239e-08	2.43215311777945e-08	9.53811760173295e-08	2.37383346636818e-08	8.96561617558433e-08	4.81578480787069e-08	2.53380068525007e-08	6.72194620256332e-08	8.69981199994277e-08	1.35956204473576e-07	7.1911260785742e-08	3.54316980685274e-08	1.7689340204827e-08	5.85589745052503e-08	3.07945497932713e-08	2.44819413904815e-08	3.30327807987872e-08	2.72559435779205e-08	0	4.0526194883072e-08	5.65710805322029e-08	3.71703657822587e-08	2.21420333949987e-08	0	1.59742527573264e-08	2.78135803932539e-08	2.36900144090736e-08	4.24198812112785e-08	1.74091433751833e-08	2.51874222608923e-08	3.54850158080568e-08	3.13495304022128e-08	5.00519074097426e-08	0	1.8011973528841e-08	1.67497030602378e-08	1.34495246649718e-08	7.01875337227642e-08	6.55152130210401e-08	3.07041117403385e-08	8.10162679765572e-08	0	1.35516562843915e-08	3.35542985223878e-08	1.79890413714937e-08	2.19462601880856e-08	1.62097596330609e-08	6.23907608722049e-08	0	3.02877505913877e-08	7.01747135228958e-08	0	5.25686870599048e-08	1.4621292064959e-07	0	3.02101656990161e-08	5.0759324120861e-08	3.42020232137664e-08	2.82328502218013e-08	9.58738431577549e-08	7.85708813138784e-08	6.92255025332658e-08	7.15139286017148e-08	1.27310524390349e-07	2.27795007487427e-08	0	3.92366780250881e-08	5.03245314197991e-08	8.96990546059385e-08	2.35037701847968e-07	0	5.9582136350188e-08	1.07330856147636e-07	1.20148899906749e-07	8.2639873294425e-08	3.26292644902801e-08	4.69684889305723e-08	4.53805835185636e-08	6.17447394562132e-08	4.88849077880541e-08	5.7309824261709e-08	2.90661342204333e-08	5.48535821927762e-08	4.03092003592603e-08	0	2.65969125646892e-08	1.17002797679062e-07	6.2308076712243e-08	7.74120474818424e-08	1.08357956061585e-07	1.03450941126251e-07	2.78156254303685e-06	7.34766141635154e-08	0	7.50745545227329e-07	1.04712793720625e-07	5.48579875939367e-08	2.75512268177131e-07	1.00723282939933e-07	1.97305571078944e-08	3.90684012892514e-07	6.96031437820429e-08	6.61038464450199e-08	8.75092298941546e-07	7.86936889666482e-08	1.03249813761946e-07	3.08916960259224e-07	6.84309858598064e-08	7.89632402200058e-08	2.36709099449674e-06	8.28699367270375e-08	4.36594110495666e-08	0	1.01403361938841e-07	4.04302349653228e-08	2.22610927488187e-06	4.73223117225994e-08	3.5393915550597e-08	4.81677044183898e-08	7.92333646469278e-08	2.10868894831423e-06	8.74658369613745e-08	4.93410235206376e-08	6.65369051565856e-08	8.60191477738034e-08	1.38961651167292e-06	2.69222485731515e-08	4.98056521949719e-08	1.69899187573479e-06	8.03209640601559e-08	8.48215505227325e-08	1.4611998158465e-06	0	6.14564342979262e-08	7.87299310698677e-07	8.97878378211768e-08	1.78403562746404e-07	1.73530995070765e-06	5.4429055913608e-08	4.02929566636693e-08	2.2408005396007e-06	0	2.37730512906249e-08	2.54020539951293e-06	8.22068456588951e-08	0	8.13240374657118e-07	3.26667962221614e-06	2.15470296716401e-06
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Debaryomycetaceae|clade_Candida/Lodderomyces clade|genus_Candida|species_Candida dubliniensis	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_766764|clade_1535325|genus_1535326|species_42374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05365125876815e-07	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium sambucinum species complex|species_Fusarium venenatum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_569360|species_56646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67475349249408e-08	0	0	0	0	0	0	7.97246668565193e-07	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Sordariomycetidae|order_Sordariales|family_Chaetomiaceae|genus_Thermothelomyces|species_Thermothelomyces thermophilus	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222544|order_5139|family_35718|genus_1920207|species_78579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.29825729079271e-08	0	0	0	0	0	0	0	0	0	0	0	0
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Glomerellales|family_Glomerellaceae|genus_Colletotrichum|no rank_Colletotrichum destructivum species complex|species_Colletotrichum higginsianum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_1028384|family_681950|genus_5455|no rank_2707350|species_80884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22896911835305e-08	0	0	0	0	0	0	4.34092958807112e-07	0	0	0	0	0	0	0	0	0	0	0	0
