Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
121818-SC-Day1	25573069	878454	24335126	1237943
121818-SC-Day2	19820561	721530	18800576	1019985
121818-SC-Day3	21941794	749568	20896303	1045491
SCV2-Week1-Mouse10	35634603	1678770	33468686	2165917
SCV2-Week1-Mouse11	44593910	1973632	42002292	2591618
SCV2-Week1-Mouse12	40478587	1905846	38003581	2475006
SCV2-Week1-Mouse13	39612381	1641991	37446367	2166014
SCV2-Week1-Mouse14	24905789	1255845	23299367	1606422
SCV2-Week1-Mouse16	23036226	967227	21775759	1260467
SCV2-Week1-Mouse17	26824258	1207458	25217188	1607070
SCV2-Week1-Mouse18	9331837	390980	8812803	519034
SCV2-Week1-Mouse19	33728110	1303036	31786744	1941366
SCV2-Week1-Mouse1	42273744	1911676	39824322	2449422
SCV2-Week1-Mouse20	31558157	1292690	29867362	1690795
SCV2-Week1-Mouse2	30107047	1305135	28385989	1721058
SCV2-Week1-Mouse3	12111262	549151	11394076	717186
SCV2-Week1-Mouse4	23849776	1050581	22473633	1376143
SCV2-Week1-Mouse5	31928769	1332823	30143274	1785495
SCV2-Week1-Mouse6	43927161	2262456	41046630	2880531
SCV2-Week1-Mouse7	25387371	1147197	23905722	1481649
SCV2-Week1-Mouse8	36511873	1718288	34318572	2193301
SCV2-Week1-Mouse9	28811450	1159799	27206965	1604485
SCV2-Week3-Mouse10	30757323	1562022	28759570	1997753
SCV2-Week3-Mouse11	20018558	1189648	18501014	1517544
SCV2-Week3-Mouse12	25287478	1294475	23592185	1695293
SCV2-Week3-Mouse13	21557167	1073559	20137816	1419351
SCV2-Week3-Mouse14	34874182	1906897	32458360	2415822
SCV2-Week3-Mouse15	19356792	1112790	17942008	1414784
SCV2-Week3-Mouse16	29025765	1575791	27000731	2025034
SCV2-Week3-Mouse17	35956527	1943019	33495169	2461358
SCV2-Week3-Mouse18	26902581	1435243	25075566	1827015
SCV2-Week3-Mouse19	12538063	713266	11626276	911787
SCV2-Week3-Mouse1	34884751	1723060	32702172	2182579
SCV2-Week3-Mouse20	22702060	1278210	21066602	1635458
SCV2-Week3-Mouse2	22754660	1167372	21239801	1514859
SCV2-Week3-Mouse3	35976213	1497464	34017924	1958289
SCV2-Week3-Mouse4	34702592	1728773	32497152	2205440
SCV2-Week3-Mouse5	39172730	1925749	36706849	2465881
SCV2-Week3-Mouse6	43925018	2212389	41045678	2879340
SCV2-Week3-Mouse7	19145269	965763	17879151	1266118
SCV2-Week3-Mouse8	23856668	1166809	22326548	1530120
SCV2-Week3-Mouse9	32395170	1328392	30607721	1787449
SCV2-Week4-Mouse10	36444194	1830976	34034860	2409334
SCV2-Week4-Mouse11	26830249	1501577	24904346	1925903
SCV2-Week4-Mouse12	24155490	1233241	22563573	1591917
SCV2-Week4-Mouse14	30761018	1655984	28620618	2140400
SCV2-Week4-Mouse15	32675159	1698949	30505297	2169862
SCV2-Week4-Mouse16	32144776	1697611	29944841	2199935
SCV2-Week4-Mouse17	28882920	1638166	26811217	2071703
SCV2-Week4-Mouse18	16769963	945003	15549087	1220876
SCV2-Week4-Mouse19	27792570	1497376	25856584	1935986
SCV2-Week4-Mouse1	24343368	1285500	22714073	1629295
SCV2-Week4-Mouse20	33926917	1842897	31558640	2368277
SCV2-Week4-Mouse2	24057458	1129109	22572569	1484889
SCV2-Week4-Mouse3	26108911	1338170	24377065	1731846
SCV2-Week4-Mouse4	30223223	1622175	28178024	2045199
SCV2-Week4-Mouse5	24603274	1198970	23054246	1549028
SCV2-Week4-Mouse6	41631234	2091768	38923881	2707353
SCV2-Week4-Mouse7	43841246	2538440	40598915	3242331
SCV2-Week4-Mouse8	25199704	1284734	23523496	1676208
SCV2-Week4-Mouse9	41942855	1729130	39563875	2378980
SCV2-Week5-Mouse10	33914132	1993792	31369127	2545005
SCV2-Week5-Mouse11	23905394	1551264	21965292	1940102
SCV2-Week5-Mouse12	33399784	1885731	31035739	2364045
SCV2-Week5-Mouse13	10647530	626611	9839756	807774
