Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	121818-SC-Day1	121818-SC-Day2	121818-SC-Day3	SCV2-Week1-Mouse10	SCV2-Week1-Mouse11	SCV2-Week1-Mouse12	SCV2-Week1-Mouse13	SCV2-Week1-Mouse14	SCV2-Week1-Mouse16	SCV2-Week1-Mouse17	SCV2-Week1-Mouse18	SCV2-Week1-Mouse19	SCV2-Week1-Mouse1	SCV2-Week1-Mouse20	SCV2-Week1-Mouse2	SCV2-Week1-Mouse3	SCV2-Week1-Mouse4	SCV2-Week1-Mouse5	SCV2-Week1-Mouse6	SCV2-Week1-Mouse7	SCV2-Week1-Mouse8	SCV2-Week1-Mouse9	SCV2-Week3-Mouse10	SCV2-Week3-Mouse11	SCV2-Week3-Mouse12	SCV2-Week3-Mouse13	SCV2-Week3-Mouse14	SCV2-Week3-Mouse15	SCV2-Week3-Mouse16	SCV2-Week3-Mouse17	SCV2-Week3-Mouse18	SCV2-Week3-Mouse19	SCV2-Week3-Mouse1	SCV2-Week3-Mouse20	SCV2-Week3-Mouse2	SCV2-Week3-Mouse3	SCV2-Week3-Mouse4	SCV2-Week3-Mouse5	SCV2-Week3-Mouse6	SCV2-Week3-Mouse7	SCV2-Week3-Mouse8	SCV2-Week3-Mouse9	SCV2-Week4-Mouse10	SCV2-Week4-Mouse11	SCV2-Week4-Mouse12	SCV2-Week4-Mouse14	SCV2-Week4-Mouse15	SCV2-Week4-Mouse16	SCV2-Week4-Mouse17	SCV2-Week4-Mouse18	SCV2-Week4-Mouse19	SCV2-Week4-Mouse1	SCV2-Week4-Mouse20	SCV2-Week4-Mouse2	SCV2-Week4-Mouse3	SCV2-Week4-Mouse4	SCV2-Week4-Mouse5	SCV2-Week4-Mouse6	SCV2-Week4-Mouse7	SCV2-Week4-Mouse8	SCV2-Week4-Mouse9	SCV2-Week5-Mouse10	SCV2-Week5-Mouse11	SCV2-Week5-Mouse12	SCV2-Week5-Mouse13	SCV2-Week5-Mouse14	SCV2-Week5-Mouse15	SCV2-Week5-Mouse16	SCV2-Week5-Mouse17	SCV2-Week5-Mouse18	SCV2-Week5-Mouse19	SCV2-Week5-Mouse1	SCV2-Week5-Mouse20	SCV2-Week5-Mouse2	SCV2-Week5-Mouse3	SCV2-Week5-Mouse4	SCV2-Week5-Mouse5	SCV2-Week5-Mouse6	SCV2-Week5-Mouse7	SCV2-Week5-Mouse8	SCV2-Week5-Mouse9	SCV2-Week6-Mouse10	SCV2-Week6-Mouse11	SCV2-Week6-Mouse12	SCV2-Week6-Mouse14	SCV2-Week6-Mouse15	SCV2-Week6-Mouse16	SCV2-Week6-Mouse17	SCV2-Week6-Mouse18	SCV2-Week6-Mouse19	SCV2-Week6-Mouse1	SCV2-Week6-Mouse20	SCV2-Week6-Mouse2	SCV2-Week6-Mouse3	SCV2-Week6-Mouse4	SCV2-Week6-Mouse5	SCV2-Week6-Mouse6	SCV2-Week6-Mouse7	SCV2-Week6-Mouse8	SCV2-Week6-Mouse9	SCV2-Week7-Mouse10	SCV2-Week7-Mouse11	SCV2-Week7-Mouse12	SCV2-Week7-Mouse13	SCV2-Week7-Mouse14	SCV2-Week7-Mouse15	SCV2-Week7-Mouse16	SCV2-Week7-Mouse17	SCV2-Week7-Mouse18	SCV2-Week7-Mouse19	SCV2-Week7-Mouse1	SCV2-Week7-Mouse20	SCV2-Week7-Mouse2	SCV2-Week7-Mouse3	SCV2-Week7-Mouse4	SCV2-Week7-Mouse5	SCV2-Week7-Mouse6	SCV2-Week7-Mouse7	SCV2-Week7-Mouse8	SCV2-Week7-Mouse9	SCV2-Week8-Mouse10-Cecum	SCV2-Week8-Mouse10	SCV2-Week8-Mouse10-Small-Intestine	SCV2-Week8-Mouse11-Cecum	SCV2-Week8-Mouse11	SCV2-Week8-Mouse11-Small-Intestine	SCV2-Week8-Mouse12-Cecum	SCV2-Week8-Mouse12	SCV2-Week8-Mouse12-Small-Intestine	SCV2-Week8-Mouse13-Cecum	SCV2-Week8-Mouse13	SCV2-Week8-Mouse13-Small-Intestine	SCV2-Week8-Mouse14-Cecum	SCV2-Week8-Mouse14	SCV2-Week8-Mouse14-Small-Intestine	SCV2-Week8-Mouse15-Cecum	SCV2-Week8-Mouse15	SCV2-Week8-Mouse15-Small-Intestine	SCV2-Week8-Mouse16-Cecum	SCV2-Week8-Mouse16	SCV2-Week8-Mouse16-Small-Intestine	SCV2-Week8-Mouse17-Cecum	SCV2-Week8-Mouse17	SCV2-Week8-Mouse17-Small-Intestine	SCV2-Week8-Mouse18-Cecum	SCV2-Week8-Mouse18	SCV2-Week8-Mouse18-Small-Intestine	SCV2-Week8-Mouse19-Cecum	SCV2-Week8-Mouse19	SCV2-Week8-Mouse1-Cecum	SCV2-Week8-Mouse1	SCV2-Week8-Mouse1-Small-Intestine	SCV2-Week8-Mouse20-Cecum	SCV2-Week8-Mouse20	SCV2-Week8-Mouse2-Cecum	SCV2-Week8-Mouse2	SCV2-Week8-Mouse2-Small-Intestine	SCV2-Week8-Mouse3-Cecum	SCV2-Week8-Mouse3	SCV2-Week8-Mouse3-Small-Intestine	SCV2-Week8-Mouse4-Cecum	SCV2-Week8-Mouse4	SCV2-Week8-Mouse4-Small-Intestine	SCV2-Week8-Mouse5-Cecum	SCV2-Week8-Mouse5	SCV2-Week8-Mouse5-Small-Intestine	SCV2-Week8-Mouse6-Cecum	SCV2-Week8-Mouse6	SCV2-Week8-Mouse6-Small-Intestine	SCV2-Week8-Mouse7-Cecum	SCV2-Week8-Mouse7	SCV2-Week8-Mouse7-Small-Intestine	SCV2-Week8-Mouse8-Cecum	SCV2-Week8-Mouse8	SCV2-Week8-Mouse8-Small-Intestine	SCV2-Week8-Mouse9-Cecum	SCV2-Week8-Mouse9-Small-Intestine	SCV2-Week8-MouseSI19	SCV2-Week8-MouseSI20	SCV2-Week8-Mouse9
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|class_Eurotiomycetes|subclass_Eurotiomycetidae|order_Eurotiales|family_Aspergillaceae|genus_Aspergillus|subgenus_Aspergillus subgen. Circumdati|species_Aspergillus oryzae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|class_147545|subclass_451871|order_5042|family_1131492|genus_5052|subgenus_2720871|species_5062	0	0	0	1.39096474808804e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08808416245324e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10255429570688e-08	0	0	0	2.99934518767839e-08	0	0	0	0	0	0	2.25059978822384e-08	1.74455359551901e-08	0	0	0	0	0	0	2.01475260734316e-08	3.06818321815889e-08	0	3.00299554778456e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90517316154333e-08	0	0	0	1.62806948698087e-08	0	0	0	0	0	0	0	0	0	0	0	0	1.04141982146123e-07	0	0	0	0	1.9415922213983e-08	0	1.21607337208298e-07	0	0	0	0	0	0	0	4.00121222282129e-07	5.42831027268602e-08	0	3.55515010921233e-06	1.0028453784618e-07	0	3.74152118866746e-06	0	0	3.72702244452022e-06	2.11096054306247e-08	1.22825188312147e-08	9.62009959274773e-06	0	0	7.28934595020461e-07	0	0	5.34524765037533e-07	0	0	5.95973404298181e-05	2.43583965882445e-08	0	1.837280742458e-07	0	0	1.16433491244976e-08	0	2.71205812712553e-07	0	0	4.07484352215262e-08	3.09654483970096e-08	6.28330209383452e-07	1.36352646944122e-07	0	2.34800809151534e-07	6.67491715160906e-07	1.06819818326825e-07	1.29617493240852e-06	0	0	1.568386551954e-06	2.14694375516187e-08	1.60333657073558e-05	9.01613818260391e-07	9.12778887860667e-08	0	1.80517742521918e-07	0	0	5.46763613051894e-06	0	3.02395054702223e-07	0	1.94832639687337e-07	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Sordariomycetidae|order_Sordariales|family_Sordariaceae|genus_Neurospora|species_Neurospora crassa	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222544|order_5139|family_5148|genus_5140|species_5141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.16669543384301e-08	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium oxysporum species complex|species_Fusarium oxysporum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_171631|species_5507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35130480585165e-07	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Metazoa|clade_Eumetazoa|clade_Bilateria|clade_Deuterostomia|phylum_Chordata|subphylum_Craniata|clade_Vertebrata|clade_Gnathostomata|clade_Teleostomi|clade_Euteleostomi|superclass_Sarcopterygii|clade_Dipnotetrapodomorpha|clade_Tetrapoda|clade_Amniota|class_Mammalia|clade_Theria|clade_Eutheria|clade_Boreoeutheria|superorder_Euarchontoglires|order_Primates|suborder_Haplorrhini|infraorder_Simiiformes|parvorder_Catarrhini|superfamily_Hominoidea|family_Hominidae|subfamily_Homininae|genus_Homo|species_Homo sapiens	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_33208|clade_6072|clade_33213|clade_33511|phylum_7711|subphylum_89593|clade_7742|clade_7776|clade_117570|clade_117571|superclass_8287|clade_1338369|clade_32523|clade_32524|class_40674|clade_32525|clade_9347|clade_1437010|superorder_314146|order_9443|suborder_376913|infraorder_314293|parvorder_9526|superfamily_314295|family_9604|subfamily_207598|genus_9605|species_9606	6.05641680589967e-10	2.07184145773081e-10	2.23011950227278e-10	1.30103243937807e-08	6.18348524488544e-10	1.2907473301509e-08	3.4925985028441e-09	3.99339337773878e-09	9.23964031672385e-09	4.67184770956193e-09	5.01162940931618e-09	4.23154126972782e-09	2.66091661661489e-09	6.06864528808072e-09	4.9125843996252e-09	1.58147611190493e-08	1.25830498182263e-08	8.45611749478421e-10	6.11891049042533e-09	7.00007594409058e-09	6.66017363230762e-09	9.49065620676684e-08	9.37427996907305e-09	6.26622027226694e-09	3.13527893544341e-09	1.28137760887583e-09	4.24744828400648e-09	2.85534080161723e-09	4.03815332749563e-09	9.97298035441087e-09	6.11119353046642e-09	3.055313655405e-09	5.09903130168508e-09	1.86623850692126e-09	2.98269486618208e-09	5.47409129692606e-09	2.69851455083799e-09	2.13967435204211e-09	3.80841609583311e-09	1.59455109562738e-09	3.273870015135e-09	6.29812347584571e-09	3.26816138226794e-09	1.03233981833326e-09	4.46724289870924e-09	4.14409237870872e-09	2.22176940905644e-09	1.96109643105365e-09	1.86197076191834e-09	4.74756868647124e-10	2.84552314977939e-09	1.25663266227988e-08	1.27955119013099e-09	3.08818278449606e-09	2.93451168574956e-09	3.07176306556892e-08	1.54031075327502e-08	1.03300638294588e-09	5.01286955481905e-09	6.80046575947372e-09	6.07305111283188e-09	2.05670704820795e-09	9.87649017804682e-09	1.46433729502486e-08	1.10574118300821e-08	1.01907806312113e-09	2.03338025645551e-08	2.00408160309501e-09	1.99664630875135e-09	3.83145063473505e-09	2.20869224647232e-08	2.70499074796953e-08	1.86407967161015e-08	1.91243638519685e-08	6.96481063416166e-10	1.67904428090327e-09	5.44423863425218e-09	6.53184508801117e-10	4.59839298067407e-09	1.04267018221582e-09	2.1591618562583e-09	2.24747707840007e-09	0	1.53573394593682e-09	1.94843928835149e-09	6.65304394179205e-09	1.52215987596838e-09	3.31002482245764e-09	6.98354496854611e-09	1.622192645297e-09	2.16916406100627e-08	1.91737844583764e-09	7.65775484421374e-09	1.04190417794821e-09	1.73427254126406e-08	1.78489640374448e-09	9.32923231854871e-10	2.98021669233186e-09	3.75313760887823e-09	1.37075067546127e-09	1.40358072537547e-09	0	8.43016927143656e-10	1.01791839397891e-09	2.28968247256165e-09	1.20101235702903e-09	7.87866483977912e-09	1.39388416544816e-07	2.60837049561972e-09	3.57476832274716e-09	2.11077776959045e-08	2.19974082915695e-09	1.35323476110416e-08	1.51178232102325e-08	2.30429786587925e-07	0	2.65147164090186e-10	2.3797888133477e-09	1.89827697410257e-09	2.24942766294562e-09	4.47117365287397e-09	5.33632529439895e-09	5.11891525831118e-07	4.23226428775242e-08	5.82720671195351e-09	2.85550362057147e-06	9.09986666032866e-08	6.05535420305506e-09	4.4883851212324e-06	1.14379423762121e-08	8.51107409266875e-10	3.35942305647065e-06	2.39249711609771e-08	2.73237553649705e-09	8.47429514718177e-06	7.53512447805566e-09	2.44854404309662e-09	6.33067048263356e-07	6.6484151880792e-09	1.31727233477926e-08	6.03585130662933e-07	8.12106315025211e-09	8.14395007604293e-10	0.000310776292317435	1.97559745541764e-08	5.08314412157338e-09	3.62193761318172e-07	9.92942050890737e-09	1.01334155537095e-08	9.59178071905752e-09	7.8314106007139e-09	2.74140523477109e-07	7.96158279509873e-09	6.9379376699799e-09	4.03853724071968e-08	3.76852635266613e-08	9.02217205693797e-07	1.1204673642181e-07	1.94467281689439e-09	2.15855954181549e-07	7.95583375307536e-07	1.29372527369351e-07	1.31882736246894e-06	0	1.25679730613087e-08	2.16630417247736e-06	3.05777700781163e-08	1.716720926192e-05	6.05899052995996e-07	9.02205564476896e-08	3.34028444928942e-10	2.05799105751936e-07	3.6501930914374e-08	1.81948580278478e-09	4.58471264745942e-06	2.09563516979646e-09	2.46289212125142e-07	7.20447294324656e-08	5.24287083294537e-07	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium sambucinum species complex|species_Fusarium poae	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_569360|species_36050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20503899149958e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49124318441417e-08	0	0	0	0	0	0	6.07473045949424e-07	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Leotiomycetes|order_Helotiales|family_Sclerotiniaceae|genus_Botrytis|species_Botrytis cinerea	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147548|order_5178|family_28983|genus_33196|species_40559	0	0	0	7.53458075852839e-08	2.2247629304192e-08	3.31819664099578e-08	1.21852687667084e-08	1.41580572128634e-07	4.93203486708157e-08	9.37223072184695e-08	4.13623428941654e-08	1.23379457451571e-07	2.1012326026715e-08	1.4212917598605e-07	5.95369809852475e-08	1.7601098306786e-07	3.21452100102585e-08	3.35344032346305e-08	9.70229214345861e-08	3.24738050338438e-08	6.78863139620878e-08	3.57020645945369e-08	2.71297037205968e-07	4.70510662238415e-08	2.74654542633552e-08	2.50049222334087e-08	1.64101376782595e-07	3.711630124271e-08	6.99135812136927e-08	3.57864284294814e-08	7.3084141773601e-08	7.62163755426846e-08	2.65341260387634e-08	1.05940835068953e-07	2.57385959976408e-08	9.79714577221773e-08	5.17814136819095e-08	2.73719388155625e-08	7.54365494687294e-08	1.01992050767317e-07	1.54527255651316e-07	7.74940395279536e-08	3.98700626760308e-08	1.9809422623577e-08	6.65515512430766e-08	3.52238022138215e-08	2.67099683108621e-08	3.60411509997311e-08	3.05376866218063e-08	0	4.58538995190796e-08	6.38867332052799e-08	4.20910742379318e-08	2.45208423109491e-08	0	1.73960531007004e-08	3.11124262944312e-08	2.56036920985172e-08	4.66613590181358e-08	1.96441338262514e-08	2.7829234156441e-08	3.87568928242546e-08	3.37755870520404e-08	5.51636045056438e-08	0	1.95549446803048e-08	1.80906514050753e-08	1.74140550158198e-08	8.38104823268223e-08	7.41093331142053e-08	3.72137117519092e-08	8.68195439863152e-08	0	1.43070062565634e-08	3.66155521196462e-08	2.01853618798841e-08	2.3803000496402e-08	1.78259414282564e-08	7.27876938650409e-08	0	3.38987873314335e-08	8.28029173969507e-08	0	5.80837891730968e-08	1.69286030070382e-07	0	3.38818720230853e-08	5.54317943662101e-08	3.79860252454359e-08	3.06896021260211e-08	1.05047808218665e-07	8.7100147179743e-08	7.57849914725218e-08	7.90929959980852e-08	1.42073623721819e-07	2.45898329026263e-08	0	4.49995720870015e-08	5.55931711307331e-08	1.00961549975463e-07	2.6794993309277e-07	0	6.87502629862858e-08	1.19637738214032e-07	1.35606150651366e-07	9.21842243572012e-08	3.58000359414319e-08	5.12696505419684e-08	4.95749697665989e-08	6.70542463309219e-08	5.31773511513689e-08	6.26630330953762e-08	3.18776841951918e-08	5.99677042523159e-08	4.45317486036954e-08	0	2.98003895952468e-08	1.30849022375957e-07	7.094442794817e-08	8.63278979365496e-08	1.20021638619588e-07	1.1382737907237e-07	4.55176227024368e-06	8.42624452176501e-08	0	3.0049085800254e-06	1.22043477944225e-07	6.08975548460153e-08	1.48546027357087e-06	1.18153345827662e-07	2.27655109344893e-08	1.57228032756954e-06	8.10665874120291e-08	7.75544350266395e-08	1.34668364270227e-06	9.69923427294735e-08	1.21145387102049e-07	4.79148903474248e-07	7.59569001663272e-08	9.28042694725857e-08	3.83264337198218e-06	9.03385107681038e-08	4.78011850752895e-08	0	1.13311792176899e-07	4.56942892948986e-08	3.72305130849758e-06	5.44383555478383e-08	3.85851159539522e-08	5.17736490268209e-08	8.65089343794217e-08	2.94418508744643e-06	9.73722388663504e-08	5.44032801103118e-08	7.43356540703574e-08	9.79142029858004e-08	2.23516085523005e-06	2.91404603073647e-08	5.50477920950907e-08	2.49598459976862e-06	8.88494811542451e-08	9.49976114952308e-08	2.30544340156174e-06	0	6.61301349963781e-08	1.13786845598834e-06	1.01341483289151e-07	2.05397122470541e-07	2.48308135786683e-06	6.08818304001888e-08	4.42043071769941e-08	3.70084805207399e-06	0	2.67672892023916e-08	4.45730030224548e-06	9.01883495774542e-08	1.02825296585016e-06	5.41266715649104e-06	3.42207611944102e-06	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Saccharomycotina|class_Saccharomycetes|order_Saccharomycetales|family_Debaryomycetaceae|clade_Candida/Lodderomyces clade|genus_Candida|species_Candida dubliniensis	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147537|class_4891|order_4892|family_766764|clade_1535325|genus_1535326|species_42374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36438136444943e-07	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Hypocreales|family_Nectriaceae|genus_Fusarium|species group_Fusarium sambucinum species complex|species_Fusarium venenatum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_5125|family_110618|genus_5506|species group_569360|species_56646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.38348190388283e-08	0	0	0	0	0	0	9.17875008221028e-07	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Sordariomycetidae|order_Sordariales|family_Chaetomiaceae|genus_Thermothelomyces|species_Thermothelomyces thermophilus	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222544|order_5139|family_35718|genus_1920207|species_78579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07051409855213e-07	0	0	0	0	0	0	0	0	0	0	0	NA
root_root|no rank_cellular organisms|superkingdom_Eukaryota|clade_Opisthokonta|kingdom_Fungi|subkingdom_Dikarya|phylum_Ascomycota|clade_saccharomyceta|subphylum_Pezizomycotina|clade_leotiomyceta|clade_sordariomyceta|class_Sordariomycetes|subclass_Hypocreomycetidae|order_Glomerellales|family_Glomerellaceae|genus_Colletotrichum|no rank_Colletotrichum destructivum species complex|species_Colletotrichum higginsianum	root_1|no rank_131567|superkingdom_2759|clade_33154|kingdom_4751|subkingdom_451864|phylum_4890|clade_716545|subphylum_147538|clade_716546|clade_715989|class_147550|subclass_222543|order_1028384|family_681950|genus_5455|no rank_2707350|species_80884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57182255200376e-08	0	0	0	0	0	0	4.99773901659379e-07	0	0	0	0	0	0	0	0	0	0	0	NA
