Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
121818-SC-Day1	25573069	878454	23534125	2038944
121818-SC-Day2	19820561	721530	18046358	1774203
121818-SC-Day3	21941794	749568	20072190	1869604
SCV2-Week1-Mouse10	35634603	1678770	31114020	4520583
SCV2-Week1-Mouse11	44593910	1973632	39498031	5095879
SCV2-Week1-Mouse12	40478587	1905846	35756691	4721896
SCV2-Week1-Mouse13	39612381	1641991	34915463	4696918
SCV2-Week1-Mouse14	24905789	1255845	22186017	2719772
SCV2-Week1-Mouse16	23036226	967227	20499990	2536236
SCV2-Week1-Mouse17	26824258	1207458	23609203	3215055
SCV2-Week1-Mouse18	9331837	390980	8297573	1034264
SCV2-Week1-Mouse19	33728110	1303036	30239845	3488265
SCV2-Week1-Mouse1	42273744	1911676	37014746	5258998
SCV2-Week1-Mouse20	31558157	1292690	28372404	3185753
SCV2-Week1-Mouse2	30107047	1305135	26542583	3564464
SCV2-Week1-Mouse3	12111262	549151	10564396	1546866
SCV2-Week1-Mouse4	23849776	1050581	21101766	2748010
SCV2-Week1-Mouse5	31928769	1332823	28537293	3391476
SCV2-Week1-Mouse6	43927161	2262456	38826523	5100638
SCV2-Week1-Mouse7	25387371	1147197	22343251	3044120
SCV2-Week1-Mouse8	36511873	1718288	32048671	4463202
SCV2-Week1-Mouse9	28811450	1159799	26113842	2697608
SCV2-Week3-Mouse10	30757323	1562022	27066353	3690970
SCV2-Week3-Mouse11	20018558	1189648	17292639	2725919
SCV2-Week3-Mouse12	25287478	1294475	22006410	3281068
SCV2-Week3-Mouse13	21557167	1073559	18788144	2769023
SCV2-Week3-Mouse14	34874182	1906897	30734253	4139929
SCV2-Week3-Mouse15	19356792	1112790	16971399	2385393
SCV2-Week3-Mouse16	29025765	1575791	25675874	3349891
SCV2-Week3-Mouse17	35956527	1943019	31319363	4637164
SCV2-Week3-Mouse18	26902581	1435243	23302853	3599728
SCV2-Week3-Mouse19	12538063	713266	10927212	1610851
