prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.018143271399387387	0.00016456206340677054	0.00016456206340677054	297910	0.00016456206340677054	0.0	0.012827119034873402	0.00016447920512906581	6359	0.0	0.0	0.0
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.0	0.0	0.0	59270	0.0	0.0	0.0	0.0	114332	0.0	0.0	0.0
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.03233874321768786	0.0	-0.0033236938500096395	43617	0.0	0.0	0.0	0.0	129675	0.0033236938500096395	0.0	0.1453492761984876
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.0349753259833502	0.0	-0.003056314215112498	78343	0.0	0.0	0.0	0.0	76890	0.003056314215112498	0.0	0.12358086429111116
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.03372298237930373	0.0	-0.0005682966255809254	55818	0.0	0.0	0.0	0.0	79184	0.0005682966255809254	0.0	0.023832198063260476
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.0	0.0	0.0	61230	0.0	0.0	0.0	0.0	48789	0.0	0.0	0.0
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.0	0.0	0.0	54084	0.0	0.0	0.0	0.0	45097	0.0	0.0	0.0
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.13834575269796465	0.0	-0.014340118187787262	49749	0.0	0.0	0.0	0.0	38075	0.014340118187787262	0.0	0.14658917409251407
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.04378234114334979	0.0	-0.0009575289575289575	47895	0.0	0.0	0.0	0.0	32375	0.0009575289575289575	0.0	0.030929146380471895
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.011477549207643689	0.0	-6.586272972199754e-05	42341	0.0	0.0	0.0	0.0	485859	6.586272972199754e-05	0.0	0.00811531834389623
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.028637344658477018	0.0	-0.011366729452241228	79180	0.0	0.0	0.0	0.0	367388	0.011366729452241228	0.0	0.561329381019509
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.01847691678134649	0.0	-0.00017066909396044744	52944	0.0	0.0	0.0	0.0	281246	0.00017066909396044744	0.0	0.013062923333640937
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.030489537313574393	0.0	-0.001715140521161997	38023	0.0	0.0	0.0	0.0	232634	0.001715140521161997	0.0	0.07955433896738907
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.05416368175413653	0.0	-0.0035476408993081834	52924	0.0	0.0	0.0	0.0	186321	0.0035476408993081834	0.0	0.09262889286229059
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.03057011588622184	0.0	-0.0010882442813567137	50836	0.0	0.0	0.0	0.0	186539	0.0010882442813567137	0.0	0.050343604440285065
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.04533457988593437	0.0	-0.002620019030984006	126005	0.0	0.0	0.0	0.0	76717	0.002620019030984006	0.0	0.08173157127773013
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.0	0.0	0.0	42174	0.0	0.0	0.0	0.0	153229	0.0	0.0	0.0
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.0	0.0	0.0	73543	0.0	0.0	0.0	0.0	114906	0.0	0.0	0.0
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.03734905720166868	0.0	-0.0010917452465605195	64215	0.0	0.0	0.0	0.0	103504	0.0010917452465605195	0.0	0.04133868563282675
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.0	0.0	0.0	57384	0.0	0.0	0.0	0.0	102306	0.0	0.0	0.0
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.03936589818307319	0.0	-0.006319627304030788	79019	0.0	0.0	0.0	0.0	74055	0.006319627304030788	0.0	0.22703159473055234
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.054265833226839304	0.0	-0.009356272167638305	101641	0.0	0.0	0.0	0.0	49058	0.009356272167638305	0.0	0.24383237492027887
G17_2-k141_145354_frag_1	G17_2-k141_145354	dormant	0.0	0.0	0.0	50504	0.0	0.0	0.0	0.0	73159	0.0	0.0	0.0
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.0	0.0	0.0	48095	0.0	0.0	0.0	0.0	67962	0.0	0.0	0.0
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.1400729259783582	0.03396195202646816	0.03396195202646816	60450	0.03396195202646816	0.0	0.3428889117938211	0.01511993382961125	20207	0.0	0.0	0.0
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.03874630414206987	0.00075007500750075	0.00075007500750075	66660	0.00075007500750075	0.0	0.027377224018971795	0.00075007500750075	13161	0.0	0.0	0.0
G2_2-k141_67665_frag_1	G2_2-k141_67665	dormant	0.0	0.0	0.0	42889	0.0	0.0	0.0	0.0	25923	0.0	0.0	0.0
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.04782878508461003	0.0	-0.002642640631018371	35123	0.0	0.0	0.0	0.0	298565	0.002642640631018371	0.0	0.07813826368897085
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.026639241743897236	0.0	-0.0005530895676995692	59608	0.0	0.0	0.0	0.0	213347	0.0005530895676995692	0.0	0.029362200897741147
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.024645468726605255	0.0	-0.0007681877471476518	60476	0.0	0.0	0.0	0.0	193963	0.0007681877471476518	0.0	0.04408037609332516
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	0.056445124556148245	0.0	-0.003547216485221876	63399	0.0	0.0	0.0	0.0	171402	0.003547216485221876	0.0	0.08887431291048108
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	0.031437563178220426	0.0	-0.0004939161156112357	41247	0.0	0.0	0.0	0.0	172094	0.0004939161156112357	0.0	0.022218734493262556
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.06537547867662513	0.0	-0.026108754338603934	101642	0.0	0.0	0.0	0.0	51860	0.026108754338603934	0.0	0.5647890498050447
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.1720889406927006	0.00414372173850653	-0.08446977998344904	96735	0.0003514756809841319	0.0	0.018744389716055628	0.0003514756809841319	25819	0.08482125566443317	0.0	0.6939129768317979
K14_2-k141_50755_frag_1	K14_2-k141_50755	dormant	0.0	0.0	0.0	50332	0.0	0.0	0.0	0.0	48581	0.0	0.0	0.0
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.02285739151707327	0.0	-0.0019398771347691089	42703	0.0	0.0	0.0	0.0	525291	0.0019398771347691089	0.0	0.1200224684990305
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.027672153657090713	0.0	-0.00038272750758278876	66688	0.0	0.0	0.0	0.0	104513	0.00038272750758278876	0.0	0.01955967860774506
M5_1-k141_343_frag_1	M5_1-k141_343	dormant	0.036989211232037425	0.0	-0.006152698797427053	56844	0.0	0.0	0.0	0.0	64362	0.006152698797427053	0.0	0.23523697301719113
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.032677131463024776	0.0	-0.0016814050217718035	64102	0.0	0.0	0.0	0.0	543593	0.0016814050217718035	0.0	0.07276849830966789
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	0.01925451972669602	0.00018533390992771977	0.00018533390992771977	162020	0.00018533390992771977	0.0	0.013612478145794303	0.00018516232563881003	13603	0.0	0.0	0.0
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.09316659097542516	0.008642505142586536	0.008642505142586536	67723	0.008642505142586536	0.0	0.13118809926993064	0.004311681408088832	26444	0.0	0.0	0.0
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.0	0.0	0.0	82038	0.0	0.0	0.0	0.0	4388	0.0	0.0	0.0
F23_1-k141_61569_frag_1	F23_1-k141_61569	dormant	0.025291903133177137	0.0018930774370345984	0.0018930774370345984	206692	0.0018930774370345984	0.0	0.10585268225881109	0.00045478296208851816	9067	0.0	0.0	0.0
E11_1-k141_13932_frag_1	E11_1-k141_13932	dormant	0.05198075828176275	0.0013491768783265256	0.0013491768783265256	80940	0.0013491768783265256	0.0	0.036706356398786714	0.0013466765505312577	6727	0.0	0.0	0.0
K16_2-k141_21419_frag_1	K16_2-k141_21419	dormant	0.17017107208519328	85.4661429041405	0.025648440240867494	29165	0.025952093744614855	0.0	0.2124391286169656	0.01594376821532659	144902	0.00030365350374736026	0.0	0.01742301059794456
I22_2-k141_19457_frag_1	I22_2-k141_19457	dormant	0.0	0.0	0.0	111979	0.0	0.0	0.0	0.0	41438	0.0	0.0	0.0
J21_2-k141_3283_frag_1	J21_2-k141_3283	dormant	0.07737346898940593	0.1271941454101925	0.1271941454101925	37864	0.1271941454101925	0.0	2.3248238426298182	0.0032484682019860555	8249	0.0	0.0	0.0
O11_1-k141_3288_frag_1	O11_1-k141_3288	dormant	0.01564917522609468	0.0	-0.00018764910560212732	36745	0.0	0.0	0.0	0.0	1060490	0.00018764910560212732	0.0	0.016957820861204283
M13_2-k141_23729_frag_1	M13_2-k141_23729	dormant	0.020676047591323153	0.5008359045449425	-0.0017076349412025388	60266	0.0017133541819149645	0.0	0.07236666361602839	0.0007964689874887997	236189	0.0034209891231175033	0.0	0.0916803409869189
