prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.059157932353033085	0.0017732401934443848	0.0017732401934443848	297910	0.0017732401934443848	0.0	0.04239060141501996	0.0017589204793393978	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.0	0.0	0.0	59608	0.0	0.0	0.0	0.0	135164	0.0	0.0	0.0
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.12202399706923486	0.007389910578707609	0.007389910578707609	59270	0.007389910578707609	0.0	0.08564636478186331	0.007389910578707609	114332	0.0	0.0	0.0
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.057295626423370175	0.0	-0.0016387046429964885	78343	0.0	0.0	0.0	0.0	76890	0.0016387046429964885	0.0	0.0404477352900382
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.0	0.0	0.0	55818	0.0	0.0	0.0	0.0	79184	0.0	0.0	0.0
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.0	0.0	0.0	61230	0.0	0.0	0.0	0.0	48789	0.0	0.0	0.0
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.0	0.0	0.0	59604	0.0	0.0	0.0	0.0	50099	0.0	0.0	0.0
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.46048589961234976	0.040495730175258926	-0.14433873597855607	71900	0.006091794158553546	0.0	0.07781185129833991	0.006091794158553546	33331	0.1504305301371096	0.0	0.43640069986980085
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.0	0.0	0.0	54084	0.0	0.0	0.0	0.0	45097	0.0	0.0	0.0
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.0	0.0	0.0	49749	0.0	0.0	0.0	0.0	38075	0.0	0.0	0.0
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.35702556711429667	0.0	-0.1301003861003861	47895	0.0	0.0	0.0	0.0	32375	0.1301003861003861	0.0	0.5153404894228217
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	0.7542222266489327	0.0	-0.29441900178529845	50039	0.0	0.0	0.0	0.0	12883	0.29441900178529845	0.0	0.5520539313659416
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.0143472022955064	0.0	-0.00010291051519062115	42341	0.0	0.0	0.0	0.0	485859	0.00010291051519062115	0.0	0.010143960006681007
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.002373313407978728	1.1599772669866129	6.270407973606174e-05	79180	0.0004546602677443799	0.0	0.02131791621584496	0.0004546602677443799	367388	0.00039195618800831817	0.0	0.0306859901052229
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.0	0.0	0.0	52944	0.0	0.0	0.0	0.0	281246	0.0	0.0	0.0
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.11110751091317181	0.0	-0.00613457420258586	52924	0.0	0.0	0.0	0.0	186321	0.00613457420258586	0.0	0.07808291235559076
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.9556855899646661	0.0	-0.7360927205570953	50836	0.0	0.0	0.0	0.0	186539	0.7360927205570953	0.0	1.0892623259229437
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.048196583752267985	0.0	-0.001160107929142172	126005	0.0	0.0	0.0	0.0	76717	0.001160107929142172	0.0	0.03404059457081793
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.10847378715182403	0.011911398773506656	0.011911398773506656	73543	0.011911398773506656	0.0	0.1552933859380248	0.006839536053737269	114906	0.0	0.0	0.0
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.0524863098768211	0.0	-0.05794945122893801	64215	0.0	0.0	0.0	0.0	103504	0.05794945122893801	0.0	1.5614147775367657
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.0	0.0	0.0	57384	0.0	0.0	0.0	0.0	102306	0.0	0.0	0.0
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.0	0.0	0.0	79019	0.0	0.0	0.0	0.0	74055	0.0	0.0	0.0
E17_1-k141_28919_frag_1	E17_1-k141_28919	dormant	0.09037060710984998	1.1383246276089436	0.1628045821969646	103011	1.3397792468765473	1.0	1.5056767948650036	0.6340487909058256	24156	1.1769746646795827	1.0	2.0552119266495468
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.03388744858222729	0.0	-0.0017215502780965834	48095	0.0	0.0	0.0	0.0	67962	0.0017215502780965834	0.0	0.07184488220421056
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.7091431013357845	1.7408939481032173	17.970830576813686	60450	42.22643507030604	41.0	33.197509686853124	0.7778990901571546	20207	24.255604493492353	25.0	13.502597040084813
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.28247116646443343	0.0	-0.04285388648279006	66660	0.0	0.0	0.0	0.0	13161	0.04285388648279006	0.0	0.21455126986205017
G21_2-k141_64191_frag_1	G21_2-k141_64191	dormant	0.1159208514909964	0.0	-0.00667398061802889	55223	0.0	0.0	0.0	0.0	21876	0.00667398061802889	0.0	0.0814213645227124
G2_2-k141_67665_frag_1	G2_2-k141_67665	dormant	0.2744672927631596	0.0	-0.03942444933071018	42889	0.0	0.0	0.0	0.0	25923	0.03942444933071018	0.0	0.20313746811607308
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.0	0.0	0.0	35123	0.0	0.0	0.0	0.0	298565	0.0	0.0	0.0
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.041112013664909346	0.0	-0.0016405199041936375	59608	0.0	0.0	0.0	0.0	213347	0.0016405199041936375	0.0	0.05643230022162351
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.06249208953737379	0.0	-0.0019488252914215598	60476	0.0	0.0	0.0	0.0	193963	0.0019488252914215598	0.0	0.0441024644595344
K13_1-k141_27370_frag_1	K13_1-k141_27370	active	1.026911046774692	2.501701897329149	1.6787149142930007	63399	2.796589851574946	3.0	1.9206026896499735	0.89763245477058	171402	1.1178749372819454	1.0	1.2868265827825962
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.0	0.0	0.0	101642	0.0	0.0	0.0	0.0	51860	0.0	0.0	0.0
K3_1-k141_16809_frag_1	K3_1-k141_16809	active	0.9308473446377663	7.184262537874292	8.338538740114556	96735	9.686886855843284	6.0	10.970480657998525	0.5993900863182923	25819	1.348348115728727	0.0	6.335645098697209
K14_2-k141_50755_frag_1	K14_2-k141_50755	dormant	0.0	0.0	0.0	50332	0.0	0.0	0.0	0.0	48581	0.0	0.0	0.0
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.012337106936148756	0.0	-0.00045498590305183224	42703	0.0	0.0	0.0	0.0	525291	0.00045498590305183224	0.0	0.05215543953008278
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.2250407369506389	0.5523351855827027	-0.11218926659092984	66688	0.13842070537428022	0.0	0.4194904836886378	0.11669265834932821	104513	0.25060997196521007	0.0	0.5666475698636535
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.1309093014843636	0.0	-0.01287544173674054	64102	0.0	0.0	0.0	0.0	543593	0.01287544173674054	0.0	0.13909343430281756
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	0.0	0.0	0.0	162020	0.0	0.0	0.0	0.0	13603	0.0	0.0	0.0
