prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.07999642816327093	0.05747917786136486	0.05747917786136486	297910	0.05747917786136486	0.0	1.0161432797935788	0.006542244301970394	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.17209382515809588	0.0	-0.023105264715456778	59608	0.0	0.0	0.0	0.0	135164	0.023105264715456778	0.0	0.1898718835077409
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.11091782616779099	0.0	-0.006113773921561767	59270	0.0	0.0	0.0	0.0	114332	0.006113773921561767	0.0	0.07795123918202362
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	1.3221739316797454	0.022177338311233485	-1.8114772765772438	43617	0.04108489809019419	0.0	0.2887396911168824	0.024600499805121856	129675	1.8525621746674379	1.0	1.9159435496633885
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.08665040194866523	0.0	-0.009754194303550527	78343	0.0	0.0	0.0	0.0	76890	0.009754194303550527	0.0	0.15919734431556246
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.6779883668965115	0.0	-0.3229440290967872	55818	0.0	0.0	0.0	0.0	79184	0.3229440290967872	0.0	0.6736278203808778
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.08795718462887961	0.0	-0.0038533275943347886	61230	0.0	0.0	0.0	0.0	48789	0.0038533275943347886	0.0	0.061955463526574724
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.26277387875111846	0.0	-0.040000798419130124	59604	0.0	0.0	0.0	0.0	50099	0.040000798419130124	0.0	0.2152789002428397
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	1.3712184842619106	0.01422701924598756	-7.048375889511154	71900	0.10172461752433937	0.0	0.8163317842787116	0.020764951321279555	33331	7.150100507035493	5.0	7.223399050273991
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.07150633799641232	0.0	-0.0025500587622236514	54084	0.0	0.0	0.0	0.0	45097	0.0025500587622236514	0.0	0.050433678851879896
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.15081027859394067	0.0	-0.018988837820091923	49749	0.0	0.0	0.0	0.0	38075	0.018988837820091923	0.0	0.17806658955377141
D17_2-k141_24953_frag_1	D17_2-k141_24953	dormant	0.0	0.0	0.0	37699	0.0	0.0	0.0	0.0	47087	0.0	0.0	0.0
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.32248375468441914	0.010706500215725475	-1.1266792472755516	47895	0.012193339597035181	0.0	0.3830329643704229	0.0010439503079653408	32375	1.1388725868725869	0.0	4.926046536711172
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	2.126241651789706	0.0	-14.996739889777226	50039	0.0	0.0	0.0	0.0	12883	14.996739889777226	15.0	9.974686050220486
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.48356267314378554	0.02368422807173079	-0.3378309500834205	42341	0.008195366193524007	0.0	0.10715374705491632	0.006518504522802957	485859	0.3460263162769445	0.0	0.9821829178160633
