prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.3397216788378375	1.4230820605317311	0.8163574276968613	297910	2.745906098871574	2.0	2.8024997654405066	0.768990634755463	6359	1.929548671174713	2.0	1.922235530063242
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.6531525486797739	0.0019115234431248218	-2.54028743663816	59608	0.004865118776003221	0.0	0.06958052454027723	0.004865118776003221	135164	2.5451525554141634	0.0	5.499820036519414
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.25918512222975904	0.09194724739196848	-0.09730838544723788	59270	0.009853214104943478	0.0	0.14147179573591412	0.00487599122659018	114332	0.10716159955218137	0.0	0.5117574356787955
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.2568285175121901	0.05226532850111177	-0.060697408496612815	43617	0.003347318706009125	0.0	0.057759104593886806	0.003347318706009125	129675	0.06404472720262194	0.0	0.3291986700134462
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.03799917660889433	0.16491934602473907	-0.014542502219701837	78343	0.0028719860102370347	0.0	0.11979850478004662	0.0005743972020474069	76890	0.017414488229938872	0.0	0.5278026653348863
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.06422994340962815	0.0	-0.00205849666599313	55818	0.0	0.0	0.0	0.0	79184	0.00205849666599313	0.0	0.04532393691492647
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.05096239722388467	0.0	-0.006804812560208244	61230	0.0	0.0	0.0	0.0	48789	0.006804812560208244	0.0	0.18883448849111503
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.6203501739311684	0.0	-3.00411185852013	59604	0.0	0.0	0.0	0.0	50099	3.00411185852013	0.0	6.848479958154093
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.3887587131206361	0.08682401064252408	-0.23931452002752848	71900	0.022753824756606398	0.0	0.17574695516259095	0.01842837273991655	33331	0.2620683447841349	0.0	0.8526463983744756
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.07632930175016056	0.0	-0.01057720025722332	54084	0.0	0.0	0.0	0.0	45097	0.01057720025722332	0.0	0.19597218515980916
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.37540881708372087	0.24347521201274916	-0.4856064561630574	49749	0.15628454843313433	0.0	0.4797008646804256	0.11156003135741421	38075	0.6418910045961917	0.0	1.7653272793137755
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.39953567002393003	0.19932289766236957	-0.4284951806981246	47895	0.10667084246789853	0.0	0.4213237473608843	0.07499739012423008	32375	0.5351660231660231	0.0	1.4570262567906045
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	1.0410486479934087	0.0	-1.0783202670185517	50039	0.0	0.0	0.0	0.0	12883	1.0783202670185517	0.0	1.4648452299887798
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.18803802075895773	0.05284812316472541	-0.03259264977865792	42341	0.0018185682907819844	0.0	0.0426058810512156	0.0018185682907819844	485859	0.0344112180694399	0.0	0.2413946749970085
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.1455529122534003	0.0	-0.08051161170206975	79180	0.0	0.0	0.0	0.0	367388	0.08051161170206975	0.0	0.7822626935787985
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.027200545606705307	0.0	-0.0011164603229912604	52944	0.0	0.0	0.0	0.0	281246	0.0011164603229912604	0.0	0.05804711984293664
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.20337499055663164	0.1542908010256858	-0.04166126800143419	38023	0.007600662756752492	0.0	0.08684982833852016	0.007600662756752492	232634	0.04926193075818668	0.0	0.27637611002945767
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.5528639447687959	0.0	-0.44266078434529654	52924	0.0	0.0	0.0	0.0	186321	0.44266078434529654	0.0	1.1323163513830268
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.9559023256383333	0.0	-1.444100161360359	50836	0.0	0.0	0.0	0.0	186539	1.444100161360359	1.0	2.136479825234454
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	1.0718146176617553	0.056981062162409515	-2.0762470215502655	126005	0.1254553390738463	0.0	0.6516686678788949	0.052759811118606406	76717	2.201702360624112	1.0	2.66088204461759
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.07861144064598416	0.0	-0.005397150669912354	42174	0.0	0.0	0.0	0.0	153229	0.005397150669912354	0.0	0.09709431111858147
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.03133906327182327	0.0	-0.003724783736271387	73543	0.0	0.0	0.0	0.0	114906	0.003724783736271387	0.0	0.16808542205145685
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.05838828644086885	0.0	-0.00565195547998145	64215	0.0	0.0	0.0	0.0	103504	0.00565195547998145	0.0	0.1368951305295364
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.22622005808087106	0.0	-0.046703028170390785	57384	0.0	0.0	0.0	0.0	102306	0.046703028170390785	0.0	0.29196374717067725
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.35270160750111634	0.08175442618824225	-0.10859489211320471	79019	0.009668560725901365	0.0	0.1238783421458663	0.0073020412812108484	74055	0.11826345283910607	0.0	0.41743529693711867
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.21656728588178817	0.0	-0.05888947776101757	101641	0.0	0.0	0.0	0.0	49058	0.05888947776101757	0.0	0.3845562259858532
E23_2-k141_90385_frag_1	E23_2-k141_90385	dormant	0.06693593800478104	7.6610244023818925	0.02299826706255787	49072	0.026450929246821	0.0	0.48100677225467214	0.004564721225953701	88048	0.003452662184263129	0.0	0.06881489393441748
E17_1-k141_28919_frag_1	E17_1-k141_28919	dormant	0.08053755004478595	0.0032326644727262138	0.0032326644727262138	103011	0.0032326644727262138	0.0	0.05676455190639432	0.0032326644727262138	24156	0.0	0.0	0.0
G17_2-k141_145354_frag_1	G17_2-k141_145354	dormant	0.016260945316739505	1.3156651206445336	0.010674770137297888	50504	0.04449152542372881	0.0	0.5695182980749405	0.009623000158403295	73159	0.033816755286430925	0.0	0.7331753748672263
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.2297855504454246	0.0	-0.07031870751302198	48095	0.0	0.0	0.0	0.0	67962	0.07031870751302198	0.0	0.43277599335856176
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.02646150155226939	1.097477988628742	0.01851922592892266	60450	0.20850289495450786	0.0	0.7912468776386206	0.0893631100082713	20207	0.1899836690255852	0.0	0.5945785606628059
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.0	0.0	0.0	66660	0.0	0.0	0.0	0.0	13161	0.0	0.0	0.0
G21_2-k141_64191_frag_1	G21_2-k141_64191	dormant	0.9402331293809518	0.007426675154514389	-5.757614949240845	55223	0.043079876138565454	0.0	0.34076433181667165	0.021893051808123426	21876	5.800694825379411	3.0	8.653376281838758
G20_2-k141_28693_frag_1	G20_2-k141_28693	dormant	0.3266488766364316	0.0	-0.07227126474713308	61526	0.0	0.0	0.0	0.0	12121	0.07227126474713308	0.0	0.31289561999324156
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.02553387422259822	0.0	-0.0008038450588649038	35123	0.0	0.0	0.0	0.0	298565	0.0008038450588649038	0.0	0.04452158628114638
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.5610182997913604	0.0	-2.6499271140442566	59608	0.0	0.0	0.0	0.0	213347	2.6499271140442566	0.0	6.679929808662713
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.0804948966710403	0.0	-0.004696772064775241	60476	0.0	0.0	0.0	0.0	193963	0.004696772064775241	0.0	0.0825175138807267
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	1.901204525146421	3.5089350417892215e-05	-9.439441929332105	63399	0.0003312355084465055	0.0	0.018196862132885554	0.0003312355084465055	171402	9.43977316484055	9.0	7.02151809130471
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	0.2330531415753897	0.0	-0.03918788569037852	41247	0.0	0.0	0.0	0.0	172094	0.03918788569037852	0.0	0.23780001011542753
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.2093193804700059	0.0	-0.04379097570381797	101642	0.0	0.0	0.0	0.0	51860	0.04379097570381797	0.0	0.2958626745924475
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.2874944075770618	0.0	-0.21794027654053216	96735	0.0	0.0	0.0	0.0	25819	0.21794027654053216	0.0	1.0720698794405168
K14_2-k141_50755_frag_1	K14_2-k141_50755	dormant	0.04673655921960138	0.0	-0.001090961487001091	50332	0.0	0.0	0.0	0.0	48581	0.001090961487001091	0.0	0.03301168414418893
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.2726654145460283	0.13363226134097725	-0.08866361101719189	42703	0.013675854155445753	0.0	0.14646089940165938	0.00969486921293586	525291	0.10233946517263764	0.0	0.43591859822923457
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.2514856558312121	0.027405402796794584	-0.15486060769529666	66688	0.004363603646833013	0.0	0.08499200729993632	0.0029240642994241843	104513	0.1592242113421297	0.0	0.8666913651753679
M5_1-k141_343_frag_1	M5_1-k141_343	dormant	0.0	0.0	0.0	56844	0.0	0.0	0.0	0.0	64362	0.0	0.0	0.0
O18_2-k141_40615_frag_1	O18_2-k141_40615	dormant	0.07418383473171983	0.0	-0.003650368385800402	59564	0.0	0.0	0.0	0.0	59720	0.003650368385800402	0.0	0.06958929121858337
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.7980364843489586	0.0	-0.9337831796951027	64102	0.0	0.0	0.0	0.0	543593	0.9337831796951027	0.0	1.6547725109560782
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	1.1788010577513512	0.4122617210120164	-9.629739352055047	162020	6.754661147834682	4.0	7.6180213198938	0.8865386989260585	13603	16.38440049988973	17.0	8.685276028187593
A16_2-k141_59131_frag_1	A16_2-k141_59131	dormant	0.047215756198272056	1.5825208674448168	0.01374711468839326	68376	0.03734646615659719	0.0	0.35127820429036627	0.017462267462267464	44408	0.023599351468203928	0.0	0.21481705545319515
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.1887951577799706	0.5492212553687121	-0.17450544580209096	67723	0.21261450579373417	0.0	0.975863141949485	0.09599397545885445	26444	0.38711995159582513	0.0	0.8697084971683339
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.1284632437245196	0.2669449934427101	-0.06381654797285431	82038	0.02323905822586948	0.0	0.5179087613241603	0.00922743119042395	4388	0.0870556061987238	0.0	0.47468858438932826
C9_2-k141_78995_frag_1	C9_2-k141_78995	dormant	1.0573066805545528	0.02287873174687335	-2.040230293702309	54744	0.04777081730593105	0.0	0.3211709520809199	0.027053193043986557	21602	2.08800111100824	1.0	2.7099697792457347
A9_2-k141_24686_frag_1	A9_2-k141_24686	dormant	1.9428514235483474	0.0022472473204974853	-8.249730547212787	60373	0.018580940836557463	0.0	0.18142344579897682	0.01204180676792606	2594	8.268311488049344	7.0	6.0022886666974
C1_2-k141_94561_frag_1	C1_2-k141_94561	dormant	0.0	0.0	0.0	4658	0.0	0.0	0.0	0.0	1743	0.0	0.0	0.0
C23_2-k141_164129_frag_1	C23_2-k141_164129	dormant	1.4317480683481383	0.0333099133452598	-4.523468263123183	3916	0.15586829527349974	0.0	0.5192792174246176	0.09116445352400408	1447	4.679336558396683	4.0	4.437791789415478
F23_1-k141_61569_frag_1	F23_1-k141_61569	dormant	0.09220792224444394	0.014079460836052715	0.014079460836052715	206692	0.014079460836052715	0.0	0.2159398453037625	0.006192789270992588	9067	0.0	0.0	0.0
E11_1-k141_13932_frag_1	E11_1-k141_13932	dormant	1.0365757069795398	0.113409199066055	-2.822144911609717	80940	0.36099764822379005	0.0	1.0734534501160602	0.15911786508524833	6727	3.183142559833507	2.0	3.697623541580865
E23_1-k141_60915_frag_1	E23_1-k141_60915	dormant	0.11897725992854476	0.0	-0.007028051090875756	67521	0.0	0.0	0.0	0.0	16363	0.007028051090875756	0.0	0.08353835998355294
F23_1-k141_21238_frag_1	F23_1-k141_21238	dormant	1.0414613412243512	0.0	-1.0020174848688634	61955	0.0	0.0	0.0	0.0	1487	1.0020174848688634	0.0	1.3606522496270557
