prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.09072872419406158	0.01184846856528748	0.01184846856528748	297910	0.01184846856528748	0.0	0.1846853362838048	0.0059346782585344565	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.27928549470149355	0.19564224633895314	-0.10925397294740581	59608	0.02657361427996242	0.0	0.1783430891991201	0.023604214199436317	135164	0.13582758722736823	0.0	0.5236931783416467
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.24345627213742646	0.2707716021822367	-0.11936736403770981	59270	0.04432259153028514	0.0	0.29672768364200214	0.02692761936898937	114332	0.16368995556799495	0.0	0.6266952482694481
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.06718430286845917	0.0	-0.0022517833044148833	43617	0.0	0.0	0.0	0.0	129675	0.0022517833044148833	0.0	0.04739950185780452
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.09093365215614121	3.9163763587930394	0.011833911093034572	78343	0.01589165592331159	0.0	0.1473599577727373	0.012853732943594195	76890	0.004057744830277019	0.0	0.11025773985408674
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.06317626792961203	0.0	-0.0038391594261466965	55818	0.0	0.0	0.0	0.0	79184	0.0038391594261466965	0.0	0.08594036188744694
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.13850105168164034	0.0	-0.1067453729324233	61230	0.0	0.0	0.0	0.0	48789	0.1067453729324233	0.0	1.0899610673614706
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.0707014717865473	0.6552242592794445	-0.01869809152952652	59604	0.03553452788403463	0.0	0.22007259868894208	0.028454466143211864	50099	0.054232619413561146	0.0	0.3024101927022371
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.5892254436766035	0.010677084627553592	-0.6263149271631212	71900	0.006759388038942976	0.0	0.1374674035159661	0.002698191933240612	33331	0.6330743152020641	0.0	1.4969341411947645
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.0626310988350752	0.0	-0.002771803002417012	54084	0.0	0.0	0.0	0.0	45097	0.002771803002417012	0.0	0.06258746008220019
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.3093668341674267	0.4678589309224557	-0.4677250956729901	49749	0.41122434621801446	0.0	1.1050036345291745	0.18145088343484292	38075	0.8789494418910045	0.0	1.8304427773270662
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.4408556214699748	0.0	-0.4317220077220077	47895	0.0	0.0	0.0	0.0	32375	0.4317220077220077	0.0	1.3849139917046234
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	1.1088754466392707	0.0	-1.571217884033222	50039	0.0	0.0	0.0	0.0	12883	1.571217884033222	1.0	2.0038658514600445
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.0128323957762028	0.0	-8.232841215249692e-05	42341	0.0	0.0	0.0	0.0	485859	8.232841215249692e-05	0.0	0.009073127034518224
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.03320940035024547	0.0	-0.004014829009112981	79180	0.0	0.0	0.0	0.0	367388	0.004014829009112981	0.0	0.17097043534104478
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.021708382364316908	0.0	-0.000597341828861566	52944	0.0	0.0	0.0	0.0	281246	0.000597341828861566	0.0	0.03891441110496383
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.05013517807313459	0.0	-0.0012551905568403588	38023	0.0	0.0	0.0	0.0	232634	0.0012551905568403588	0.0	0.03540642672609715
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.5589584276400766	0.0	-0.4883775849206477	52924	0.0	0.0	0.0	0.0	186321	0.4883775849206477	0.0	1.2356378757357835
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	1.1861215547354969	0.0	-2.1241080953580753	50836	0.0	0.0	0.0	0.0	186539	2.1241080953580753	1.0	2.5325755732276085
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.34620982714365184	0.19038123125805045	-0.2508945423839711	126005	0.05899765882306258	0.0	0.42303248235328755	0.025586286258481805	76717	0.30989220120703365	0.0	0.9334840958323906
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.021376083732897868	0.0	-0.0002284162919551782	42174	0.0	0.0	0.0	0.0	153229	0.0002284162919551782	0.0	0.015111721210786713
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.1716563464616558	67.4067599359771	0.12194164226838607	73543	0.1237779258393049	0.0	1.0022359833971153	0.019390016724909236	114906	0.001836283570918838	0.0	0.0693488104894902
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.0404762294761417	0.0	-0.0021545061060442108	64215	0.0	0.0	0.0	0.0	103504	0.0021545061060442108	0.0	0.07527706495436665
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.027969155840815996	0.0	-0.00039098391101206187	57384	0.0	0.0	0.0	0.0	102306	0.00039098391101206187	0.0	0.019769447199976753
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.09487746057533883	0.0	-0.0098575383161164	79019	0.0	0.0	0.0	0.0	74055	0.0098575383161164	0.0	0.1469333632427321
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.31062269655097036	0.0	-0.09639610257246524	101641	0.0	0.0	0.0	0.0	49058	0.09639610257246524	0.0	0.4388754496422276
E23_2-k141_90385_frag_1	E23_2-k141_90385	dormant	0.3120199471794303	0.01707225218946268	-0.31091587207286114	49072	0.005400228236061298	0.0	0.09464476979001456	0.0036069448972937722	88048	0.31631610030892243	0.0	1.4060275619714937
E17_1-k141_28919_frag_1	E17_1-k141_28919	dormant	0.13548053675109076	1.2135355212079937	0.33433213063452283	103011	1.9000300938734698	1.0	2.397400062423504	0.5887235343798235	24156	1.565697963238947	1.0	2.5361497774195247
G17_2-k141_145354_frag_1	G17_2-k141_145354	dormant	0.2679015591145193	0.2831854902581974	0.2831854902581974	50504	0.2831854902581974	0.0	1.4948952231338917	0.053975922699192144	73159	0.0	0.0	0.0
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.34423807331436534	0.0	-0.13509019746328832	48095	0.0	0.0	0.0	0.0	67962	0.13509019746328832	0.0	0.5549833217366816
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.2777570107709782	1.4668154632187682	0.7262703287312136	60450	2.28206782464847	1.0	2.9651169124911014	0.5572043010752689	20207	1.5557974959172565	1.0	2.2095501932261787
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.14804865089613795	0.14765055169310032	-0.030050159107545132	66660	0.005205520552055205	0.0	0.11458280057384174	0.00294029402940294	13161	0.03525567965960034	0.0	0.2631888986468427
G21_2-k141_64191_frag_1	G21_2-k141_64191	dormant	0.6468156853909273	0.003469326724174646	-0.6241755021587749	55223	0.0021730076236350796	0.0	0.06588849129512227	0.0010865038118175398	21876	0.62634850978241	0.0	1.363121034265788
G20_2-k141_28693_frag_1	G20_2-k141_28693	dormant	0.0	0.0	0.0	61526	0.0	0.0	0.0	0.0	12121	0.0	0.0	0.0
G2_2-k141_67665_frag_1	G2_2-k141_67665	dormant	0.26492529478120647	0.0	-0.04555799868842341	42889	0.0	0.0	0.0	0.0	25923	0.04555799868842341	0.0	0.2431958778151167
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.0	0.0	0.0	35123	0.0	0.0	0.0	0.0	298565	0.0	0.0	0.0
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.4088977371487652	0.12246220279788328	-0.2619488186607583	59608	0.03655549590658972	0.0	0.23390857032775644	0.026808482082941888	213347	0.29850431456734805	0.0	0.8752596480138969
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.07311270897674245	0.0	-0.016198965782133704	60476	0.0	0.0	0.0	0.0	193963	0.016198965782133704	0.0	0.31333536160995745
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	1.0003244548004162	1.791602387195515	5.835870403458964	63399	13.208094764901654	12.0	6.471974881588304	0.9975867127241754	171402	7.37222436144269	6.0	5.117042997683869
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	0.0830941543205539	0.0	-0.006426720280776785	41247	0.0	0.0	0.0	0.0	172094	0.006426720280776785	0.0	0.10937899370864154
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.36164789487522564	0.0	-0.12094099498650213	101642	0.0	0.0	0.0	0.0	51860	0.12094099498650213	0.0	0.47293623931038814
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.6407748195640196	6.834350831454985	1.1779879501287747	96735	1.3798935235437018	0.0	2.358998968805759	0.3959580296686825	25819	0.201905573414927	0.0	1.0928905641766222
K14_2-k141_50755_frag_1	K14_2-k141_50755	dormant	0.042002381602530385	0.0	-0.004322677590004323	50332	0.0	0.0	0.0	0.0	48581	0.004322677590004323	0.0	0.14554387252131618
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.08181460660536505	0.0	-0.005633068146989002	42703	0.0	0.0	0.0	0.0	525291	0.005633068146989002	0.0	0.09737089380224835
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.38209924164926473	2.2472202585712866	0.3988937678853715	66688	0.7187200095969289	0.0	1.2035126702367527	0.36957173704414586	104513	0.31982624171155744	0.0	0.8551223757457276
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.7385039492438314	0.009031709228792277	-0.9996111185238579	64102	0.009110480172225516	0.0	0.11654492442552802	0.006832860129169137	543593	1.0087215986960834	0.0	1.910675060369449
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	0.7902788683119968	0.010995209771158839	-0.9946757726325647	162020	0.01105825662568728	0.0	0.20060767817486333	0.004666090606098012	13603	1.005734029258252	0.0	1.7686437235554178
A16_2-k141_59131_frag_1	A16_2-k141_59131	dormant	0.23674329822114676	0.25528630780587513	-0.14849666151096594	68376	0.050904347316272386	0.0	0.36376913891086265	0.022551772551772552	44408	0.19940100882723832	0.0	0.8090433074836816
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.5886721740841678	7.991604564777862	1.8557734246020199	67723	2.121202255338671	0.0	4.3962248075029935	0.3209987744193258	26444	0.265428830736651	0.0	0.7412055614699269
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.07948109600058119	0.749221741336642	-0.08806957534189486	82038	0.2631154747948417	0.0	1.2618862088844225	0.06447012360125795	4388	0.35118505013673657	0.0	0.929098110747035
C9_2-k141_78995_frag_1	C9_2-k141_78995	dormant	0.6556228347274694	0.28761353282648167	-2.4251215638832604	54744	0.9791002674286552	0.0	2.737382352258443	0.19635028496273566	21602	3.4042218313119155	2.0	4.457726294714356
A9_2-k141_24686_frag_1	A9_2-k141_24686	dormant	0.6520269748552074	0.0	-0.2251349267540478	60373	0.0	0.0	0.0	0.0	2594	0.2251349267540478	0.0	0.48830628035005896
C1_2-k141_94561_frag_1	C1_2-k141_94561	dormant	0.5920838420750684	0.0	-0.5025817555938038	4658	0.0	0.0	0.0	0.0	1743	0.5025817555938038	0.0	1.2004346081647044
C23_2-k141_164129_frag_1	C23_2-k141_164129	dormant	0.20295913855776393	0.0201805629314923	0.0201805629314923	3916	0.0201805629314923	0.0	0.14061759424504816	0.01940755873340143	1447	0.0	0.0	0.0
F23_1-k141_61569_frag_1	F23_1-k141_61569	dormant	0.017877322549978477	0.0001597737990336106	0.0001597737990336106	206692	0.0001597737990336106	0.0	0.01263915627597587	0.00015965784839277767	9067	0.0	0.0	0.0
E11_1-k141_13932_frag_1	E11_1-k141_13932	dormant	0.19860523455990758	0.7227281581537408	-0.6931177779822646	80940	1.806659240004951	0.0	3.326771640397193	0.3313442055843835	6727	2.4997770179872156	1.0	3.645788243166162
