prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.0	0.0	0.0	297910	0.0	0.0	0.0	0.0	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.0	0.0	0.0	59608	0.0	0.0	0.0	0.0	135164	0.0	0.0	0.0
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.08602065229455065	0.0	-0.003686138422980528	43617	0.0	0.0	0.0	0.0	129675	0.003686138422980528	0.0	0.060601574290711044
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.0	0.0	0.0	78343	0.0	0.0	0.0	0.0	76890	0.0	0.0	0.0
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.1843679724946946	0.07845099930992354	-0.030515021719152612	55818	0.0025977283313626427	0.0	0.050901671277783084	0.0025977283313626427	79184	0.033112750050515255	0.0	0.22846693513418295
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.14011495006047836	0.0	-0.009720680447631334	71900	0.0	0.0	0.0	0.0	33331	0.009720680447631334	0.0	0.09811314294871089
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.09854982916783302	0.0	-0.004832567301378858	49749	0.0	0.0	0.0	0.0	38075	0.004832567301378858	0.0	0.06934849381678544
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.2513030025335378	0.0	-0.03061003861003861	47895	0.0	0.0	0.0	0.0	32375	0.03061003861003861	0.0	0.17225871283134986
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	0.19894441612981292	0.0	-0.019405417992703563	50039	0.0	0.0	0.0	0.0	12883	0.019405417992703563	0.0	0.13794508960177704
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.11487667176425383	0.28842838829769724	-0.01701384025642347	42341	0.006896388842965447	0.0	0.0827576501835873	0.006896388842965447	485859	0.02391022909938892	0.0	0.1924097506458733
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.027906480693425464	0.0	-0.0003892342700360382	79180	0.0	0.0	0.0	0.0	367388	0.0003892342700360382	0.0	0.019725181031338027
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.0	0.0	0.0	52944	0.0	0.0	0.0	0.0	281246	0.0	0.0	0.0
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.10088146872907577	0.0	-0.005811704222082757	38023	0.0	0.0	0.0	0.0	232634	0.005811704222082757	0.0	0.08147176121556166
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.17716559057642187	0.0	-0.023534652561976375	52924	0.0	0.0	0.0	0.0	186321	0.023534652561976375	0.0	0.18786393413414434
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.20235502771772368	0.0	-0.021845297766150778	50836	0.0	0.0	0.0	0.0	186539	0.021845297766150778	0.0	0.1526718496862097
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.0	0.0	0.0	126005	0.0	0.0	0.0	0.0	76717	0.0	0.0	0.0
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.0	0.0	0.0	42174	0.0	0.0	0.0	0.0	153229	0.0	0.0	0.0
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.0	0.0	0.0	73543	0.0	0.0	0.0	0.0	114906	0.0	0.0	0.0
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.05647502287999303	0.0	-0.06890554954397898	64215	0.0	0.0	0.0	0.0	103504	0.06890554954397898	0.0	1.7254913361423032
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.028906592974787402	0.0004176210784747972	0.0004176210784747972	79019	0.0004176210784747972	0.0	0.020431511718695745	0.0004176210784747972	74055	0.0	0.0	0.0
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.0	0.0	0.0	101641	0.0	0.0	0.0	0.0	49058	0.0	0.0	0.0
E23_2-k141_90385_frag_1	E23_2-k141_90385	dormant	0.0378425987921252	0.0	-0.0014310376158459023	49072	0.0	0.0	0.0	0.0	88048	0.0014310376158459023	0.0	0.05347922365777037
E17_1-k141_28919_frag_1	E17_1-k141_28919	dormant	0.13930958375752278	0.4138221674784018	-0.03341475721900318	103011	0.023589713719893993	0.0	0.18072984987780777	0.018774693964722214	24156	0.05700447093889717	0.0	0.28705763922892896
G17_2-k141_145354_frag_1	G17_2-k141_145354	dormant	0.0	0.0	0.0	50504	0.0	0.0	0.0	0.0	73159	0.0	0.0	0.0
G10_2-k141_100921_frag_1	G10_2-k141_100921	dormant	0.055847651028755815	0.0	-0.0027662517289073307	48095	0.0	0.0	0.0	0.0	67962	0.0027662517289073307	0.0	0.07004897502214469
H11_2-k141_40405_frag_1	H11_2-k141_40405	dormant	0.8598410604493505	0.2933457667796201	-12.182135668371643	60450	5.057038875103391	0.0	17.06922185268179	0.24340777502067826	20207	17.239174543475034	16.0	10.492855582840415
E2_2-k141_63926_frag_1	E2_2-k141_63926	dormant	0.04349686329015762	0.0009450945094509451	0.0009450945094509451	66660	0.0009450945094509451	0.0	0.03072785879004542	0.0009450945094509451	13161	0.0	0.0	0.0
G20_2-k141_28693_frag_1	G20_2-k141_28693	dormant	0.2663338462496845	21.143207749569285	0.05151715536974242	61526	0.05407470012677567	0.0	0.2688492246815405	0.04351006078730943	12121	0.0025575447570332483	0.0	0.05050746204125626
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.0342415959265183	0.0	-0.000585899965783442	59608	0.0	0.0	0.0	0.0	213347	0.000585899965783442	0.0	0.024198278596097175
I4_2-k141_104898_frag_1	I4_2-k141_104898	dormant	0.050473217223442994	0.0	-0.0018199347298196048	60476	0.0	0.0	0.0	0.0	193963	0.0018199347298196048	0.0	0.050992913056258936
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	0.02105944883292244	0.0	-0.0004434020606527345	63399	0.0	0.0	0.0	0.0	171402	0.0004434020606527345	0.0	0.029775955331697836
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	0.047140040736792586	0.0	-0.0011098585656676002	41247	0.0	0.0	0.0	0.0	172094	0.0011098585656676002	0.0	0.033296047507613266
I4_2-k141_77277_frag_1	I4_2-k141_77277	dormant	0.03879666605725462	0.0	-0.0007520246818357115	101642	0.0	0.0	0.0	0.0	51860	0.0007520246818357115	0.0	0.027412755073383577
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.15563146012973872	0.8976808745447203	-1.5220856619103689	96735	13.353780947950586	11.0	9.077030921854861	0.9952137282265985	25819	14.875866609860955	14.0	10.435842980715295
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.061786578055058355	0.0	-0.004134850968320417	42703	0.0	0.0	0.0	0.0	525291	0.004134850968320417	0.0	0.09464130401556571
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.08659874845811835	0.0	-0.005731344426052261	66688	0.0	0.0	0.0	0.0	104513	0.005731344426052261	0.0	0.09359656071559196
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.010203607197014191	1.0817809629228015	0.0017218454259923556	64102	0.02277620043056379	0.0	0.17165287224059037	0.019172568718604725	543593	0.021054355004571434	0.0	0.16579365904506027
A15_2-k141_34839_frag_1	A15_2-k141_34839	dormant	0.0904713652466569	0.004744548094149626	0.004744548094149626	162020	0.004744548094149626	0.0	0.07416494980245435	0.004351314652512036	13603	0.0	0.0	0.0
A16_2-k141_59131_frag_1	A16_2-k141_59131	dormant	0.170399587444432	0.20087119585696714	-0.025715075236903126	68376	0.0064638114501802835	0.0	0.08848230782794253	0.005747630747630747	44408	0.03217888668708341	0.0	0.19421327905158894
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.1579764775219917	0.28304854165450033	-0.03272426297923983	67723	0.012919361283352818	0.0	0.1306663841955185	0.010734905423563635	26444	0.04564362426259265	0.0	0.262193785316594
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.22446871507259455	2.207651292842944	0.08861980772457337	82038	0.16200175849941384	0.0	0.49369417403115495	0.1255393841878154	4388	0.07338195077484047	0.0	0.26076242074986805
F23_1-k141_61569_frag_1	F23_1-k141_61569	dormant	0.17524148204254697	0.019158330993212035	0.019158330993212035	206692	0.019158330993212035	0.0	0.15460934938027465	0.01685599829698295	9067	0.0	0.0	0.0
E11_1-k141_13932_frag_1	E11_1-k141_13932	dormant	0.6878944992954318	0.10499268220882488	-0.4772396683390731	80940	0.055984651565787844	0.0	0.2561239406352058	0.04977761304670126	6727	0.533224319904861	0.0	0.9471169560266635
E23_1-k141_60915_frag_1	E23_1-k141_60915	dormant	0.0	0.0	0.0	67521	0.0	0.0	0.0	0.0	16363	0.0	0.0	0.0
E23_1-k141_127123_frag_1	E23_1-k141_127123	dormant	0.0	0.0	0.0	4983	0.0	0.0	0.0	0.0	1708	0.0	0.0	0.0
