prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.9465002329965279	0.08310249351138406	-10.367796900495378	43617	0.9396794827704794	0.0	5.444916608598767	0.04278148428365087	129675	11.307476383265858	4.0	14.502599782006143
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.0	0.0	0.0	78343	0.0	0.0	0.0	0.0	76890	0.0	0.0	0.0
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.08603792751376493	0.0	-0.007375227318650233	55818	0.0	0.0	0.0	0.0	79184	0.007375227318650233	0.0	0.12122730987390452
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.0	0.0	0.0	49749	0.0	0.0	0.0	0.0	38075	0.0	0.0	0.0
D17_2-k141_24953_frag_1	D17_2-k141_24953	dormant	0.11413092569595434	0.0	-0.16099985133901076	37699	0.0	0.0	0.0	0.0	47087	0.16099985133901076	0.0	1.9949735088475857
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.05097023570159178	0.0	-0.0012972972972972972	47895	0.0	0.0	0.0	0.0	32375	0.0012972972972972972	0.0	0.03599464289333281
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	1.6433368263455048	0.07593306453842957	-26.85502928181033	42341	2.2067499586689023	0.0	8.62286750730926	0.07895420514395031	485859	29.061779240479233	32.0	21.441849814065858
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	1.4522647474076507	0.14824988518934332	-21.152073999410426	38023	3.681587460221445	0.0	12.87081137824272	0.0846855850406333	232634	24.83366145963187	24.0	16.081485121847514
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	0.023966166010874337	0.0	-0.00085772948284273	50836	0.0	0.0	0.0	0.0	186539	0.00085772948284273	0.0	0.05061354690329112
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.0818458089707288	0.10272578113718683	-1.2757972320098747	42174	0.14606155451225875	0.0	1.3272933762901769	0.020913358941527956	153229	1.4218587865221335	0.0	22.0045034375995
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.18773853632670984	0.9570089223476927	0.9570089223476927	57384	0.9570089223476927	0.0	7.209042020764998	0.025564617314930992	102306	0.0	0.0	0.0
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.6898017818501813	0.12975283871115922	-5.196135278489914	79019	0.7747377213075336	0.0	4.54383996459966	0.06255457548184613	74055	5.9708729997974475	2.0	9.635326331318396
I8_2-k141_50871_frag_1	I8_2-k141_50871	dormant	0.0	0.0	0.0	35123	0.0	0.0	0.0	0.0	298565	0.0	0.0	0.0
I1_2-k141_109066_frag_1	I1_2-k141_109066	dormant	0.0	0.0	0.0	59608	0.0	0.0	0.0	0.0	213347	0.0	0.0	0.0
K13_1-k141_27370_frag_1	K13_1-k141_27370	dormant	0.0	0.0	0.0	63399	0.0	0.0	0.0	0.0	171402	0.0	0.0	0.0
J21_2-k141_34905_frag_1	J21_2-k141_34905	dormant	1.919862385442065	0.08712078707565182	-20.84485689708106	41247	1.9893325575193348	0.0	7.096123348361105	0.10264988968894707	172094	22.83418945460039	23.0	13.61670072166404
K3_1-k141_16809_frag_1	K3_1-k141_16809	dormant	0.0	0.0	0.0	96735	0.0	0.0	0.0	0.0	25819	0.0	0.0	0.0
M1_1-k141_8847_frag_1	M1_1-k141_8847	dormant	0.883991311186061	0.23932129215768644	-14.302467317754893	42703	4.499777533194389	0.0	12.573981009543537	0.13200477718193102	525291	18.802244850949283	13.0	19.116545448081173
M17_2-k141_7291_frag_1	M17_2-k141_7291	dormant	0.0	0.0	0.0	66688	0.0	0.0	0.0	0.0	104513	0.0	0.0	0.0
M5_1-k141_343_frag_1	M5_1-k141_343	dormant	0.05570159917784985	0.0	-0.0022373450172462014	56844	0.0	0.0	0.0	0.0	64362	0.0022373450172462014	0.0	0.056804180019945735
O18_2-k141_40615_frag_1	O18_2-k141_40615	dormant	0.05849602864156709	0.0	-0.0017079705291359677	59564	0.0	0.0	0.0	0.0	59720	0.0017079705291359677	0.0	0.04129229184494136
D9_2-k141_33402_frag_1	D9_2-k141_33402	dormant	0.055224291856326574	0.0	-0.0018800830768608131	64102	0.0	0.0	0.0	0.0	543593	0.0018800830768608131	0.0	0.048146185244023185
A8_2-k141_58787_frag_1	A8_2-k141_58787	dormant	0.0	0.0	0.0	67723	0.0	0.0	0.0	0.0	26444	0.0	0.0	0.0
C9_1-k141_36107_frag_1	C9_1-k141_36107	dormant	0.0	0.0	0.0	82038	0.0	0.0	0.0	0.0	4388	0.0	0.0	0.0
K16_2-k141_21419_frag_1	K16_2-k141_21419	dormant	0.0	0.0	0.0	29165	0.0	0.0	0.0	0.0	144902	0.0	0.0	0.0
O11_1-k141_3288_frag_1	O11_1-k141_3288	dormant	0.045490825707489274	0.0	-0.006254655866627691	36745	0.0	0.0	0.0	0.0	1060490	0.006254655866627691	0.0	0.1944440228770145
M13_2-k141_23729_frag_1	M13_2-k141_23729	dormant	0.008157220127608862	3.326901324106727e-05	3.326901324106727e-05	60266	3.326901324106727e-05	0.0	0.005767833771341303	3.318620781203332e-05	236189	0.0	0.0	0.0
M15_2-k141_21154_frag_1	M15_2-k141_21154	dormant	0.0	0.0	0.0	65663	0.0	0.0	0.0	0.0	108044	0.0	0.0	0.0
B13_2-k141_57935_frag_1	B13_2-k141_57935	dormant	0.06782662959926511	0.6514471036134747	-0.013200174258819076	35507	0.02467119159602332	0.0	0.16616594101304105	0.022896893570281917	782887	0.037871365854842395	0.0	0.21940821279979955
B23_1-k141_4053_frag_1	B23_1-k141_4053	dormant	0.7942921098704229	0.06863554878420185	-8.031172983655422	32329	0.591845613598931	0.0	3.4472369554235156	0.0421912215039129	520023	8.623018597254353	1.0	13.877519623919907
C15_2-k141_106709_frag_1	C15_2-k141_106709	dormant	0.013813156113553706	0.0	-9.539254030334828e-05	53415	0.0	0.0	0.0	0.0	440286	9.539254030334828e-05	0.0	0.009766444622590322
B23_2-k141_43068_frag_1	B23_2-k141_43068	dormant	0.0	0.0	0.0	55211	0.0	0.0	0.0	0.0	386985	0.0	0.0	0.0
C7_2-k141_70725_frag_1	C7_2-k141_70725	dormant	0.0	0.0	0.0	39383	0.0	0.0	0.0	0.0	386856	0.0	0.0	0.0
D15_2-k141_8824_frag_1	D15_2-k141_8824	dormant	0.04603908343485301	0.0	-0.005661531912629366	42544	0.0	0.0	0.0	0.0	375870	0.005661531912629366	0.0	0.17390909239055968
C11_2-k141_174860_frag_1	C11_2-k141_174860	dormant	0.0	0.0	0.0	46764	0.0	0.0	0.0	0.0	332578	0.0	0.0	0.0
C3_2-k141_154052_frag_1	C3_2-k141_154052	dormant	0.0	0.0	0.0	36830	0.0	0.0	0.0	0.0	332776	0.0	0.0	0.0
B23_2-k141_18787_frag_1	B23_2-k141_18787	dormant	0.04226268830269145	0.0	-0.0008922705535438725	40282	0.0	0.0	0.0	0.0	327255	0.0008922705535438725	0.0	0.02985756866885189
B11_2-k141_46719_frag_1	B11_2-k141_46719	dormant	3.3793216899303564	0.006836814193293252	-37.36486074799214	42688	0.2572151424287856	0.0	0.8220880435303974	0.18091735382308846	219896	37.62207589042092	41.0	15.615209050093824
C8_2-k141_7620_frag_1	C8_2-k141_7620	dormant	0.02156974798707636	0.0	-0.009104955571911115	40556	0.0	0.0	0.0	0.0	205163	0.009104955571911115	0.0	0.5969634722814621
D21_2-k141_44659_frag_1	D21_2-k141_44659	dormant	0.11155120428932348	0.0	-0.00676615011797717	57373	0.0	0.0	0.0	0.0	156810	0.00676615011797717	0.0	0.0857792734991697
B13_2-k141_18069_frag_1	B13_2-k141_18069	dormant	0.026157340262629614	0.0	-0.00034198623021480606	54473	0.0	0.0	0.0	0.0	154977	0.00034198623021480606	0.0	0.018489707288993514
B13_2-k141_34719_frag_1	B13_2-k141_34719	dormant	0.043426001636939736	0.0	-0.0009420205695998349	49520	0.0	0.0	0.0	0.0	154986	0.0009420205695998349	0.0	0.030677893781252043
A4_2-k141_49377_frag_1	A4_2-k141_49377	dormant	0.04361613099737532	0.0	-0.0009502795514159816	43814	0.0	0.0	0.0	0.0	153639	0.0009502795514159816	0.0	0.030811954176751113
D23_2-k141_36037_frag_1	D23_2-k141_36037	dormant	0.7839136313982875	0.21773144778030373	-34.07679363153724	38683	9.484709045317064	0.0	59.23837970003971	0.03422692138665564	153912	43.5615026768543	45.0	16.43506222008715
B3_2-k141_45267_frag_1	B3_2-k141_45267	dormant	0.0	0.0	0.0	58471	0.0	0.0	0.0	0.0	129166	0.0	0.0	0.0
A3_2-k141_19497_frag_1	A3_2-k141_19497	dormant	0.025459547976948	0.0	-0.0009153983072396382	45946	0.0	0.0	0.0	0.0	137645	0.0009153983072396382	0.0	0.05084806306238506
B9_2-k141_43405_frag_1	B9_2-k141_43405	dormant	0.06294556097816638	0.0	-0.0022750823938229954	45695	0.0	0.0	0.0	0.0	128347	0.0022750823938229954	0.0	0.05111484156883993
C8_2-k141_4575_frag_1	C8_2-k141_4575	dormant	0.03125064657892955	0.0	-0.0004880631338616548	41253	0.0	0.0	0.0	0.0	120886	0.0004880631338616548	0.0	0.02208675911578884
B9_2-k141_28310_frag_1	B9_2-k141_28310	dormant	2.5709726970707902	0.005854449563679695	-30.473933703754728	40572	0.17945874001774623	0.0	0.454429298385199	0.15197673272207435	117069	30.653392443772475	33.0	16.75661945712114
C15_2-k141_10742_frag_1	C15_2-k141_10742	dormant	0.0	0.0	0.0	68436	0.0	0.0	0.0	0.0	88075	0.0	0.0	0.0
B23_1-k141_2672_frag_1	B23_1-k141_2672	dormant	0.56834220879682	0.0	-3.262284312560714	9662	0.0	0.0	0.0	0.0	143089	3.262284312560714	0.0	8.11758593279086
A19_2-k141_32326_frag_1	A19_2-k141_32326	dormant	0.0	0.0	0.0	58860	0.0	0.0	0.0	0.0	93057	0.0	0.0	0.0
C19_2-k141_268759_frag_1	C19_2-k141_268759	dormant	0.0	0.0	0.0	52506	0.0	0.0	0.0	0.0	97837	0.0	0.0	0.0
C1_2-k141_177166_frag_1	C1_2-k141_177166	dormant	0.0	0.0	0.0	33201	0.0	0.0	0.0	0.0	109294	0.0	0.0	0.0
A15_2-k141_67109_frag_1	A15_2-k141_67109	dormant	0.029540281095034957	0.0	-0.003925114349537283	40108	0.0	0.0	0.0	0.0	94010	0.003925114349537283	0.0	0.18791120941343586
B17_2-k141_1793_frag_1	B17_2-k141_1793	dormant	1.3148797381608435	0.030803260682592964	-7.5977299845747615	42688	0.24147301349325337	0.0	0.6959687980520436	0.17128935532233883	85922	7.839202998068015	8.0	8.142016519548521
A8_2-k141_15809_frag_1	A8_2-k141_15809	dormant	0.29606977348105296	0.04038495353418592	-0.6666110731323831	35396	0.028054017403096394	0.0	0.3824440956398952	0.0066109164877387275	90517	0.6946650905354795	0.0	3.161098628021731
D23_2-k141_26352_frag_1	D23_2-k141_26352	dormant	0.03738999487389111	0.0	-0.0006985175904469404	30573	0.0	0.0	0.0	0.0	90191	0.0006985175904469404	0.0	0.026420251013621873
C7_1-k141_37404_frag_1	C7_1-k141_37404	dormant	0.02997926968097001	0.0	-0.0012746899402847956	33028	0.0	0.0	0.0	0.0	87080	0.0012746899402847956	0.0	0.0601310112139123
C5_2-k141_46389_frag_1	C5_2-k141_46389	dormant	0.02967004372825492	0.0	-0.0052795451468796535	30515	0.0	0.0	0.0	0.0	88644	0.0052795451468796535	0.0	0.2516479051484501
D23_2-k141_6028_frag_1	D23_2-k141_6028	dormant	0.0	0.0	0.0	34226	0.0	0.0	0.0	0.0	82931	0.0	0.0	0.0
B3_2-k141_99852_frag_1	B3_2-k141_99852	dormant	0.03295013613270046	0.0	-0.006944347607825638	42754	0.0	0.0	0.0	0.0	71713	0.006944347607825638	0.0	0.29805007570435504
C7_1-k141_61083_frag_1	C7_1-k141_61083	dormant	0.039389315309106894	0.0	-0.0007751577446010263	48677	0.0	0.0	0.0	0.0	64503	0.0007751577446010263	0.0	0.027830861917517474
A8_2-k141_88772_frag_1	A8_2-k141_88772	dormant	0.1580541681900087	0.7405326938766043	-2.8674602801106612	35636	8.183875331116496	0.0	14.366356143716404	0.40209338870804806	72289	11.051335611227158	0.0	21.25773321073598
A17_2-k141_21451_frag_1	A17_2-k141_21451	dormant	0.0	0.0	0.0	19302	0.0	0.0	0.0	0.0	75674	0.0	0.0	0.0
B17_2-k141_17739_frag_1	B17_2-k141_17739	active	2.0383069253734205	3.1128376071582693	40.398032889048736	35766	59.51830637915543	60.0	12.836672341001702	0.9956942347480848	57918	19.1202734901067	2.0	24.916612259109918
C7_1-k141_9170_frag_1	C7_1-k141_9170	dormant	0.09055657395608083	0.0	-0.011535896465329223	37369	0.0	0.0	0.0	0.0	55479	0.011535896465329223	0.0	0.18015501826860958
C9_1-k141_47960_frag_1	C9_1-k141_47960	dormant	0.0	0.0	0.0	61451	0.0	0.0	0.0	0.0	29179	0.0	0.0	0.0
C17_1-k141_6252_frag_1	C17_1-k141_6252	dormant	0.03858062209045482	0.0	-0.001487357461576599	43265	0.0	0.0	0.0	0.0	44374	0.001487357461576599	0.0	0.054520662972379993
A19_1-k141_77260_frag_1	A19_1-k141_77260	dormant	0.048237846815677395	0.0	-0.024813993207561984	35571	0.0	0.0	0.0	0.0	50939	0.024813993207561984	0.0	0.7274844970767427
A12_2-k141_30024_frag_1	A12_2-k141_30024	dormant	0.08121701970314808	0.0	-0.0032872604240758185	34169	0.0	0.0	0.0	0.0	52019	0.0032872604240758185	0.0	0.05724032095455181
D3_2-k141_15527_frag_1	D3_2-k141_15527	dormant	0.0	0.0	0.0	43596	0.0	0.0	0.0	0.0	42299	0.0	0.0	0.0
C5_2-k141_87282_frag_1	C5_2-k141_87282	dormant	0.0	0.0	0.0	2151	0.0	0.0	0.0	0.0	73913	0.0	0.0	0.0
C20_2-k141_21354_frag_1	C20_2-k141_21354	dormant	0.8253015001550756	0.0	-5.455999507858879	2266	0.0	0.0	0.0	0.0	65022	5.455999507858879	0.0	9.349248121886509
C20_2-k141_15705_frag_1	C20_2-k141_15705	dormant	0.0	0.0	0.0	37286	0.0	0.0	0.0	0.0	26674	0.0	0.0	0.0
D15_1-k141_56432_frag_1	D15_1-k141_56432	dormant	1.0311100673170368	0.0	-12.493658126837463	27107	0.0	0.0	0.0	0.0	35715	12.493658126837463	0.0	17.135610762292906
D3_2-k141_43519_frag_1	D3_2-k141_43519	dormant	0.13242329821507204	0.648033162009774	-0.05135263606534192	15209	0.09454928003156025	0.0	0.36552374705303786	0.07055033204023933	47388	0.14590191609690217	0.0	0.4088483371344389
B5_2-k141_37866_frag_1	B5_2-k141_37866	dormant	0.16898125511560586	0.0	-0.014076359429232549	37307	0.0	0.0	0.0	0.0	20744	0.014076359429232549	0.0	0.1178058382868563
