prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.05331131517112802	0.0024852229983879635	0.0024852229983879635	297910	0.0024852229983879635	0.0	0.0659266435007257	0.0016984995468430062	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.13674372747613658	0.0	-0.00926282146133586	59608	0.0	0.0	0.0	0.0	135164	0.00926282146133586	0.0	0.09579677238758745
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.12639621486175265	0.0	-0.010338312983241787	59270	0.0	0.0	0.0	0.0	114332	0.010338312983241787	0.0	0.1156726287171639
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.02452926246769894	0.0	-0.0003007518796992481	43617	0.0	0.0	0.0	0.0	129675	0.0003007518796992481	0.0	0.017339591344826016
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.020212492537193854	1.3434439397448217	0.0017196763792659171	78343	0.006726829455088521	0.0	0.08848939837437006	0.006152432253041114	76890	0.005007153075822604	0.0	0.08152789290607239
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.07308948304754082	0.0	-0.009345322287330773	55818	0.0	0.0	0.0	0.0	79184	0.009345322287330773	0.0	0.18082330004843852
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.03623026403884374	0.0	-0.00590296993174691	61230	0.0	0.0	0.0	0.0	48789	0.00590296993174691	0.0	0.23041676226280922
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.15447945404212124	0.13441128387849036	-0.01577441661148802	59604	0.002449500033554795	0.0	0.0494317709893	0.002449500033554795	50099	0.018223916645042814	0.0	0.13568632186690324
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.5151705541156522	0.0720157961338887	-0.23656901323843713	71900	0.018358831710709317	0.0	0.14981520105290735	0.016147426981919333	33331	0.25492784494914644	0.0	0.6318973758801932
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.10279205209620029	0.0	-0.005255338492582655	54084	0.0	0.0	0.0	0.0	45097	0.005255338492582655	0.0	0.07230297303643866
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.18785127525880682	0.0	-0.02072225869993434	49749	0.0	0.0	0.0	0.0	38075	0.02072225869993434	0.0	0.15600479291969618
D17_2-k141_24953_frag_1	D17_2-k141_24953	dormant	0.0	0.0	0.0	37699	0.0	0.0	0.0	0.0	47087	0.0	0.0	0.0
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.4981150459145752	0.0	-0.38217760617760616	47895	0.0	0.0	0.0	0.0	32375	0.38217760617760616	0.0	1.0850520543889464
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	1.0409572443350177	0.0	-0.8339672436544283	50039	0.0	0.0	0.0	0.0	12883	0.8339672436544283	0.0	1.133003101683035
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.02155283005072844	0.0	-0.00086650653790503	42341	0.0	0.0	0.0	0.0	485859	0.00086650653790503	0.0	0.0568568162466828
G19_2-k141_91063_frag_1	G19_2-k141_91063	dormant	0.06036406262439232	0.0	-0.0041754221694775	79180	0.0	0.0	0.0	0.0	367388	0.0041754221694775	0.0	0.09782208824232227
E8_2-k141_30287_frag_1	E8_2-k141_30287	dormant	0.014848295556983577	0.0	-0.00011022378984945563	52944	0.0	0.0	0.0	0.0	281246	0.00011022378984945563	0.0	0.010498173201296984
G9_1-k141_20941_frag_1	G9_1-k141_20941	dormant	0.01900387899718609	0.0	-0.00036108221498147304	38023	0.0	0.0	0.0	0.0	232634	0.00036108221498147304	0.0	0.02687069127487754
G23_2-k141_15726_frag_1	G23_2-k141_15726	dormant	0.7876446789308311	0.0	-0.6562491613935091	52924	0.0	0.0	0.0	0.0	186321	0.6562491613935091	0.0	1.1782933207883348
F15_1-k141_18938_frag_1	F15_1-k141_18938	dormant	1.1968119179305605	0.003662430553184835	-1.1344924194852057	50836	0.004170273034857188	0.0	0.0777258475856922	0.0032260602722480134	186539	1.138662692520063	1.0	1.338318536146234
G21_2-k141_64466_frag_1	G21_2-k141_64466	dormant	0.18908787060178256	0.34144021929740576	-0.07306075959122202	126005	0.03787944922820523	0.0	0.2545752351775767	0.026332288401253918	76717	0.11094020881942725	0.0	0.48350649961630465
F17_1-k141_16726_frag_1	F17_1-k141_16726	dormant	0.0	0.0	0.0	42174	0.0	0.0	0.0	0.0	153229	0.0	0.0	0.0
H23_2-k141_46560_frag_1	H23_2-k141_46560	dormant	0.20913396835704978	422.8211465966634	1.1123162186377475	73543	1.11495315665665	0.0	7.521507975402854	0.02384999252138205	114906	0.002636938018902407	0.0	0.05989397973146071
G9_2-k141_108738_frag_1	G9_2-k141_108738	dormant	0.05636465566133553	0.0	-0.04781457721440717	64215	0.0	0.0	0.0	0.0	103504	0.04781457721440717	0.0	1.199688400157042
F17_2-k141_4843_frag_1	F17_2-k141_4843	dormant	0.0	0.0	0.0	57384	0.0	0.0	0.0	0.0	102306	0.0	0.0	0.0
F17_2-k141_6699_frag_1	F17_2-k141_6699	dormant	0.0	0.0	0.0	79019	0.0	0.0	0.0	0.0	74055	0.0	0.0	0.0
G10_2-k141_91595_frag_1	G10_2-k141_91595	dormant	0.49016073026938045	0.003362375986300353	-0.15456029686282008	101641	0.0005214431184266192	0.0	0.022829174656589242	0.0005214431184266192	49058	0.1550817399812467	0.0	0.44535320613407675
E23_2-k141_90385_frag_1	E23_2-k141_90385	dormant	0.15180761229826514	0.0	-0.011391513719789206	49072	0.0	0.0	0.0	0.0	88048	0.011391513719789206	0.0	0.10612137925490044
