prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
A15_2-k141_144305_frag_1	A15_2-k141_144305	dormant	0.08078306441640908	0.015838259000537345	0.015838259000537345	297910	0.015838259000537345	0.0	0.277269509949265	0.005172703165385519	6359	0.0	0.0	0.0
C1_2-k141_185643_frag_1	C1_2-k141_185643	dormant	0.6888689586439658	0.0	-0.428975170903495	59608	0.0	0.0	0.0	0.0	135164	0.428975170903495	0.0	0.8806645981076723
C3_2-k141_166963_frag_1	C3_2-k141_166963	dormant	0.9742101292813083	0.0	-0.6759175034111184	59270	0.0	0.0	0.0	0.0	114332	0.6759175034111184	0.0	0.9811966347286333
A8_2-k141_11335_frag_1	A8_2-k141_11335	dormant	0.10514408933602795	0.3118796208968414	-0.014720230820375262	43617	0.006671710571566132	0.0	0.11117062994630086	0.0038058555150514706	129675	0.021391941391941394	0.0	0.16383345695001236
C13_2-k141_186049_frag_1	C13_2-k141_186049	dormant	0.3473270567260594	0.7076286990314451	-0.5159370525675429	78343	1.2487267528687949	1.0	1.2462588949387197	0.6764994958069004	76890	1.7646638054363377	1.0	1.6911426535234253
C8_2-k141_7661_frag_1	C8_2-k141_7661	dormant	0.5343187554125957	19.20405502614884	0.24391925619751362	55818	0.25731842774732167	0.0	0.6284193493281002	0.18051524597799992	79184	0.013399171549808042	0.0	0.14792903733955784
C21_2-k141_186182_frag_1	C21_2-k141_186182	dormant	0.04709593320061572	0.8178869640695869	-0.01750247034121845	61230	0.07860525886003593	0.0	0.3550497313909019	0.05788012412216234	48789	0.09610772920125438	0.0	0.38750998563698685
C9_2-k141_59097_frag_1	C9_2-k141_59097	dormant	0.7158995314255133	0.004304950026496717	-0.39192611400382216	59604	0.0016945171465002349	0.0	0.041129621419866265	0.0016945171465002349	50099	0.39362063115032236	0.0	0.7731316270202923
B1_2-k141_70933_frag_1	B1_2-k141_70933	dormant	0.20422959657729448	1.1556520919766387	0.5349592090361481	71900	3.971849791376912	3.0	2.764188392348624	0.9409874826147427	33331	3.436890582340764	3.0	2.4661276741475886
C15_2-k141_26808_frag_1	C15_2-k141_26808	dormant	0.28083669084800056	0.7474871618511031	-0.3633123157480802	54084	1.0754751867465424	1.0	1.167233717634029	0.6067968345536573	45097	1.4387875024946226	1.0	1.408819442694263
C19_2-k141_56003_frag_1	C19_2-k141_56003	dormant	0.29824442311617566	1.2411185447885116	0.5658227408616865	49749	2.912480652877445	3.0	1.930098370406118	0.9113349012040443	38075	2.3466579120157585	2.0	1.8636760898310503
D17_2-k141_24953_frag_1	D17_2-k141_24953	dormant	0.04325076876774918	0.0	-0.0009344405037483806	37699	0.0	0.0	0.0	0.0	47087	0.0009344405037483806	0.0	0.030554333975610377
C5_2-k141_27383_frag_1	C5_2-k141_27383	dormant	0.29227651381971	0.39778016591061044	-0.27165462415572034	47895	0.17943417893308278	0.0	0.5315388172809892	0.1289069840275603	32375	0.4510888030888031	0.0	1.2021640605204813
C15_1-k141_200213_frag_1	C15_1-k141_200213	dormant	1.6047390827855732	0.0	-2.9730652798261277	50039	0.0	0.0	0.0	0.0	12883	2.9730652798261277	2.0	2.620082782088312
G11_1-k141_21281_frag_1	G11_1-k141_21281	dormant	0.0010569110503100226	1.0109844205854785	0.00011136822782755254	42341	0.010250112184407549	0.0	0.10072262598156191	0.010250112184407549	485859	0.010138743956579996	0.0	0.10982362572061813
